coolant,T_K,rho_kg_m3,cp_J_kg_K,mu_Pa_s,k_W_m_K,category,source
water,278.15,999.9662713709055,4204.952951469756,0.0015181739053797864,0.5677932243384335,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,278.15,1037.5,4085,0.003471247381310727,0.4445,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,283.15,999.7009071406801,4195.450961208127,0.0013059026188348463,0.578775262542807,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,283.15,1035.0,4090,0.0030702646897345282,0.44899999999999995,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,288.15,999.1004960876605,4189.098477008955,0.0011375700647802466,0.5887989237546978,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,288.15,1032.5,4095,0.0027156016928621333,0.45349999999999996,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,293.15,998.2054863776968,4184.798221308528,0.001001597262227019,0.59801021536793,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,293.15,1030.0,4100,0.0024019077504725895,0.45799999999999996,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,298.15,997.047435408096,4181.900061492331,0.0008900225512925696,0.606515826882792,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,298.15,1027.5,4105,0.002124450303939764,0.46249999999999997,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,303.15,995.6514650683861,4180.023789225952,0.0007972217078481357,0.6143946882799808,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,303.15,1025.0,4110,0.0018790434782608694,0.46699999999999997,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,308.15,994.0379476622159,4178.950415927581,0.0007191262952392836,0.6217059489604769,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,308.15,1022.5,4115,0.0016619849316535566,0.4715,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,313.15,992.2236782428844,4178.555861435372,0.0006527308199530227,0.6284945625613594,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,313.15,1020.0,4120,0.00147,0.476,3P,agent.md section 8 anchors; other values modeled extensions
water,318.15,990.2227010385195,4178.770863746689,0.0005957731041767044,0.6347952423214239,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,318.15,1017.5,4125,0.0013001922934704696,0.4805,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,323.15,988.0469005789471,4179.557071098979,0.0005465217288501741,0.6406352888072232,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,323.15,1015.0,4130,0.00115,0.485,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,328.15,985.706431011154,4180.893075179282,0.0005036314598860839,0.6460366253914958,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,328.15,1012.5,4135,0.0010171572363884627,0.4895,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,333.15,983.2100328102316,4182.766504430041,0.0004660428904357821,0.6510172697913416,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,333.15,1010.0,4140,0.0008996598639455782,0.494,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,338.15,980.5652701165494,4185.169767652499,0.00043291147269094456,0.6555923998106303,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,338.15,1007.5,4145,0.0007957352529569604,0.4985,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,343.15,977.7787113463817,4188.097957066854,0.0004035564740393157,0.6597751245912672,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,343.15,1005.0,4150,0.0007038155398213708,0.503,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,348.15,974.8560686601444,4191.547994495392,0.00037742368712438684,0.6635770408222894,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,348.15,1002.5,4155,0.0006225139734017037,0.5075,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,353.15,971.8023071210761,4195.518463327802,0.00035405779355808227,0.6670086313017474,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,353.15,1000.0,4160,0.000550603993737807,0.512,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,358.15,968.6217311535758,4200.0097927658335,0.0003330816084005931,0.6700795477277505,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,358.15,997.5,4165,0.0004870007274911288,0.5165,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,363.15,965.3180537030638,4205.024599810014,0.0003141802995148768,0.6727988085104545,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,363.15,995.0,4170,0.0004307446209513455,0.521,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
water,368.15,961.894451972709,4210.568080117141,0.0002970892519411143,0.675174934376158,DERIVED,"IAPWS97, iapws 1.5.5, 0.1 MPa"
PG25,368.15,992.5,4175,0.00038098696368353617,0.5255,ESTIMATE,agent.md section 8 anchors; other values modeled extensions
EG50,283.15,1078.72,3245.0,0.0055071,0.3724,MANUFACTURER,Dow DOWTHERM SR-1 Form 180-01312-602 AMS; 50% ethylene glycol by volume
EG50,313.15,1064.91,3361.0,0.0022567,0.3937,MANUFACTURER,Dow DOWTHERM SR-1 Form 180-01312-602 AMS; 50% ethylene glycol by volume
EG50,338.15,1050.05,3457.0,0.0012936,0.4062,MANUFACTURER,Dow DOWTHERM SR-1 Form 180-01312-602 AMS; 50% ethylene glycol by volume
EG50,363.15,1032.15,3554.0,0.0008227,0.4139,MANUFACTURER,Dow DOWTHERM SR-1 Form 180-01312-602 AMS; 50% ethylene glycol by volume
EG50,393.15,1006.66,3670.0,0.0005252,0.4168,MANUFACTURER,Dow DOWTHERM SR-1 Form 180-01312-602 AMS; 50% ethylene glycol by volume
