tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.09513963265885717,5.520941502249913,5.596448979932774,1.3676558183434744,95.29490978484847,-0.2581200665251168,95.5530298513736,40.0,54.77037501655303,14.770375016553032,54.97201718315142,49.78352336354255,20.818564315663245,24.950942172167807
C02,compute,2,0.13333333333333333,5800.0,0.09494042246416297,5.520941502249913,5.584730733186056,1.155404941533025,94.4309476105275,-0.7268060476325231,95.15775365816002,40.0,54.80131171062459,14.801311710624589,54.9828257341681,49.575260997205575,20.731472780649604,24.85101988030483
C03,compute,3,0.2,5800.0,0.09475857617154872,5.520941502249913,5.574033892444042,0.9616546411964685,93.58473547607538,-1.2129040270127485,94.79763950308812,40.0,54.82966520720271,14.829665207202709,54.99308373397065,49.385532669325606,20.65213184353616,24.759974990226358
C04,compute,4,0.26666666666666666,5800.0,0.09459355371456186,5.520941502249913,5.564326689091875,0.7858294970935678,92.7556362310439,-1.7157908368796424,94.47142706792354,40.0,54.85548971155811,14.855489711558107,55.002852444547784,49.21367222392335,20.580262930004313,24.677491913995897
C05,compute,5,0.3333333333333333,5800.0,0.09444477841687739,5.520941502249913,5.555575200992788,0.6273150825590087,91.94298914000917,-2.234819713211774,94.17780885322095,40.0,54.878848900817786,14.878848900817786,55.01220411597643,49.05898893617188,20.515577191490056,24.603242725558978
C06,compute,6,0.39999999999999997,5800.0,0.09431163591142024,5.520941502249913,5.547743288907073,0.48545681286853865,91.1461081506912,-2.769318571902357,93.91542672259357,40.0,54.89981596372411,14.899815963724109,55.0212251596717,48.9207656755856,20.457774737063072,24.53688630994488
C07,compute,7,0.4666666666666667,5800.0,0.09419347302250135,5.520941502249913,5.540792530735374,0.35955875419744615,90.36428007813691,-3.318588201503245,93.68286827964016,40.0,54.918473617695156,14.918473617695156,55.03002068842778,48.79825698022379,20.406543828093586,24.478067471322785
C08,compute,8,0.5333333333333333,5800.0,0.09408959659820669,5.520941502249913,5.534682152835687,0.24888237957555195,89.59676269741715,-3.8819003650532853,93.47866306247043,40.0,54.934914107568716,14.934914107568716,55.03872116643868,48.69068703407297,20.361560032430518,24.426415995966963
C09,compute,9,0.6,5800.0,0.09399927227691043,5.520941502249913,5.529368957465319,0.15264525465396453,88.84278273493723,-4.458495800989666,93.30127853592688,40.0,54.94923919140598,14.94923919140598,55.04749241281223,48.59724753723809,20.32248533375411,24.381545664934684
S01,switch,10,0.6666666666666666,1240.0,0.02015390460902359,1.1803392177223955,1.1855238005307993,0.4392451534744497,88.10153374502767,-5.047582109381862,93.14911585440954,40.0,54.90665894714988,14.906658947149879,55.056551116328194,8.123597419792445,2.030899354948111,82.99461907966898
S02,switch,11,0.7333333333333333,1240.0,0.020137938343713805,1.1803392177223955,1.1845846084537532,0.3596754786772006,87.36216493511452,-5.638499721180913,93.00066465629543,40.0,54.91845629789276,14.91845629789276,55.05957386170053,8.110731214704375,2.0276828036760937,82.86225063791495
S03,switch,12,0.7999999999999999,1240.0,0.020122359276123606,1.1803392177223955,1.1836681927131532,0.2820354471642027,86.6246784716648,-6.231251383235316,92.85592985490011,40.0,54.92998556460731,14.929985564607307,55.062475883054105,8.098186856747954,2.0245467141869886,82.73319628396519
S04,switch,13,0.8666666666666667,1240.0,0.02010716873952634,1.1803392177223955,1.1827746317368435,0.20633170345280327,85.88907595874771,-6.825839293037431,92.71491525178513,40.0,54.94124447149625,14.941244471496248,55.06525550237046,8.085964694395706,2.0214911735989265,82.60745938379053
S05,switch,14,0.9333333333333333,1240.0,0.020092367921804487,1.1803392177223955,1.181903995400264,0.13257016748861974,85.15535840797813,-7.422265068651934,92.57762347663007,40.0,54.95223087209814,14.952230872098141,55.06791093593591,8.074064974103159,2.0185162435257897,82.48504225900112
S06,switch,15,1.0,1240.0,0.02007795785787078,1.1803392177223955,1.181056344580634,0.060755996875399634,84.42352620710597,-8.020529717275204,92.44405592438117,40.0,54.962942756395705,14.962942756395705,55.07044028018703,8.0624878348487,2.015621958712175,82.36594613082032
S07,switch,16,1.0666666666666667,1240.0,0.020063939421792097,1.1803392177223955,1.1802317306936527,-0.009106452376471829,83.69357908719006,-8.62063360236351,92.31421268955356,40.0,54.973378258134574,14.973378258134574,55.072841495537546,8.05123330242686,2.012808325606715,82.25017106151999
S08,switch,17,1.1333333333333333,1240.0,0.020050313318604088,1.1803392177223955,1.1794301952120052,-0.07701366664274623,82.96551608829147,-9.222576409264855,92.18809249755633,40.0,54.983535662356815,14.983535662356815,55.075112387862816,8.04030128348385,2.0100753208709623,82.13771589320152
S09,switch,18,1.2,1240.0,0.02003708007580382,1.1803392177223955,1.1786517691649305,-0.14296301708258144,82.23933552361866,-9.826357109286034,92.0656926329047,40.0,54.993413413155054,14.993413413155054,55.07725058725754,8.029691559283489,2.007422889820872,82.02857818380035
C10,compute,19,1.2666666666666666,5800.0,0.0933068557936671,5.520941502249913,5.488638576098064,-0.5850981420231499,81.51503494205254,-10.431973922123014,91.94700886417554,40.0,55.059973283013335,15.059973283013335,55.079253523608315,47.883931359551035,20.024189477630433,24.03888802699408
C11,compute,20,1.3333333333333333,5800.0,0.0932572184888288,5.520941502249913,5.485718734636988,-0.6379848002115494,80.80181954817792,-11.048482281754389,91.8503018299323,40.0,55.067974534854955,15.067974534854955,55.08166702531872,47.83299840150234,20.00289024062825,24.01441318780172
C12,compute,21,1.4,5800.0,0.09321778722939222,5.520941502249913,5.483399248787777,-0.6799973056558671,80.0986537038345,-11.674861166004819,91.77351486983932,40.0,55.07433669222752,15.074336692227519,55.08362512709516,47.792557207693314,19.98597846867175,23.994979193474254
C13,compute,22,1.4666666666666666,5800.0,0.09318746584510777,5.520941502249913,5.481615637947516,-0.7123035860164719,79.40445083057935,-12.310038933915038,91.7144897644944,40.0,55.07923264419571,15.079232644195713,55.08517431255592,47.7614708484822,19.972978718456194,23.980040197556008
C14,compute,23,1.5333333333333332,5800.0,0.09316509756045058,5.520941502249913,5.480299856497092,-0.7361361415667715,78.71806926689179,-12.952889339375233,91.67095860626702,40.0,55.08284645909799,15.082846459097993,55.08636320816089,47.7385447189655,19.96339142793103,23.9690224593705
C15,compute,24,1.5999999999999999,5800.0,0.09314946091346642,5.520941502249913,5.479380053733318,-0.7527963935074828,78.03830726680116,-13.60222676946332,91.64053403626448,40.0,55.085373741006094,15.085373741006094,55.08724265168388,47.722521376581746,19.956690757479638,23.96132190220309
C16,compute,25,1.6666666666666667,5800.0,0.09313926414651917,5.520941502249913,5.478780243912892,-0.7636606604116293,77.36389650908824,-14.256800145419378,91.62069665450761,40.0,55.08702225550661,15.08702225550661,55.08786572481989,47.71207389165289,19.952321809236665,23.95630095361807
C17,compute,26,1.7333333333333334,5800.0,0.09313313658546728,5.520941502249913,5.478419799145134,-0.7701893433837561,76.69349261461058,-14.91528415000096,91.60877676461153,40.0,55.08801307354122,15.08801307354122,55.08828749484445,47.70579621636017,19.949696599568796,23.95328394868258
C18,compute,27,1.8,5800.0,0.09312974263779121,5.520941502249913,5.4782201551641885,-0.7738054653959846,76.02583026170568,-15.576344617138243,91.60217487884391,40.0,55.088561926130296,15.088561926130296,55.088561926130296,47.702319300796745,19.948242616696817,23.951612961350374
