tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,53.6915797285921,0.01,0.02,65.6915797285921,77.6915797285921,80.0,2.308420271407897,,
C01,CPU,2,500.00000000000006,53.6915797285921,0.02,0.04,63.6915797285921,73.6915797285921,80.0,6.308420271407897,,
C02,GPU,4,1200.0,53.714439314784784,0.01,0.02,65.71443931478478,77.71443931478478,80.0,2.2855606852152164,,
C02,CPU,2,500.00000000000006,53.714439314784784,0.02,0.04,63.714439314784784,73.71443931478478,80.0,6.285560685215216,,
C03,GPU,4,1200.0,53.73514952341128,0.01,0.02,65.73514952341128,77.73514952341128,80.0,2.2648504765887196,,
C03,CPU,2,500.00000000000006,53.73514952341128,0.02,0.04,63.73514952341128,73.73514952341128,80.0,6.26485047658872,,
C04,GPU,4,1200.0,53.75380008761891,0.01,0.02,65.75380008761891,77.75380008761891,80.0,2.246199912381087,,
C04,CPU,2,500.00000000000006,53.75380008761891,0.02,0.04,63.75380008761891,73.75380008761891,80.0,6.246199912381087,,
C05,GPU,4,1200.0,53.77048481994842,0.01,0.02,65.77048481994842,77.77048481994842,80.0,2.2295151800515782,,
C05,CPU,2,500.00000000000006,53.77048481994842,0.02,0.04,63.77048481994842,73.77048481994842,80.0,6.229515180051578,,
C06,GPU,4,1200.0,53.78530129488388,0.01,0.02,65.78530129488388,77.78530129488388,80.0,2.2146987051161204,,
C06,CPU,2,500.00000000000006,53.78530129488388,0.02,0.04,63.78530129488388,73.78530129488388,80.0,6.21469870511612,,
C07,GPU,4,1200.0,53.798350538575505,0.01,0.02,65.7983505385755,77.7983505385755,80.0,2.201649461424495,,
C07,CPU,2,500.00000000000006,53.798350538575505,0.02,0.04,63.798350538575505,73.7983505385755,80.0,6.201649461424495,,
C08,GPU,4,1200.0,53.80973672924847,0.01,0.02,65.80973672924847,77.80973672924847,80.0,2.1902632707515295,,
C08,CPU,2,500.00000000000006,53.80973672924847,0.02,0.04,63.80973672924847,73.80973672924847,80.0,6.1902632707515295,,
C09,GPU,4,1200.0,53.81956691180852,0.01,0.02,65.81956691180852,77.81956691180852,80.0,2.180433088191478,,
C09,CPU,2,500.00000000000006,53.81956691180852,0.02,0.04,63.81956691180852,73.81956691180852,80.0,6.180433088191478,,
S01,NVSwitch,2,620.0,52.78097429240131,0.015,0.035,62.08097429240131,74.48097429240131,80.0,5.519025707598686,,
S02,NVSwitch,2,620.0,52.7882737522346,0.015,0.035,62.0882737522346,74.4882737522346,80.0,5.511726247765395,,
S03,NVSwitch,2,620.0,52.795299951992945,0.015,0.035,62.09529995199294,74.49529995199295,80.0,5.504700048007052,,
S04,NVSwitch,2,620.0,52.80205744682826,0.015,0.035,62.102057446828255,74.50205744682826,80.0,5.49794255317174,,
S05,NVSwitch,2,620.0,52.808550871205966,0.015,0.035,62.10855087120596,74.50855087120597,80.0,5.491449128794031,,
S06,NVSwitch,2,620.0,52.81478493676724,0.015,0.035,62.114784936767236,74.51478493676724,80.0,5.485215063232758,,
S07,NVSwitch,2,620.0,52.82076443021947,0.015,0.035,62.12076443021947,74.52076443021947,80.0,5.479235569780528,,
S08,NVSwitch,2,620.0,52.82649421126098,0.015,0.035,62.126494211260976,74.52649421126098,80.0,5.473505788739018,,
S09,NVSwitch,2,620.0,52.83197921054585,0.015,0.035,62.13197921054585,74.53197921054586,80.0,5.468020789454144,,
C10,GPU,4,1200.0,53.89018999008039,0.01,0.02,65.89018999008039,77.89018999008039,80.0,2.109810009919613,,
C10,CPU,2,500.00000000000006,53.89018999008039,0.02,0.04,63.89018999008039,73.89018999008039,80.0,6.109810009919613,,
C11,GPU,4,1200.0,53.894891562293424,0.01,0.02,65.89489156229342,77.89489156229342,80.0,2.1051084377065763,,
C11,CPU,2,500.00000000000006,53.894891562293424,0.02,0.04,63.894891562293424,73.89489156229342,80.0,6.105108437706576,,
C12,GPU,4,1200.0,53.898609450615936,0.01,0.02,65.89860945061594,77.89860945061594,80.0,2.101390549384064,,
C12,CPU,2,500.00000000000006,53.898609450615936,0.02,0.04,63.898609450615936,73.89860945061594,80.0,6.101390549384064,,
C13,GPU,4,1200.0,53.90146391383814,0.01,0.02,65.90146391383814,77.90146391383814,80.0,2.0985360861618574,,
C13,CPU,2,500.00000000000006,53.90146391383814,0.02,0.04,63.90146391383814,73.90146391383814,80.0,6.098536086161857,,
C14,GPU,4,1200.0,53.903576940833375,0.01,0.02,65.90357694083337,77.90357694083337,80.0,2.096423059166625,,
