component,Pa,kPa,percent
coldplates,52043.37453561708,52.043374535617076,50.256651727609295
qdcs,21571.91885948308,21.57191885948308,20.831324311518983
tubing,10030.515794296643,10.030515794296644,9.686153970996985
fittings,7714.5131594482,7.7145131594482,7.449662989034499
valves,551.0366542462999,0.5510366542462999,0.5321187849310356
restrictions,0.0,0.0,0.0
orifices,8547.630038613464,8.547630038613464,8.254177784975468
header_friction,775.9700515311561,0.7759700515311561,0.749329899892779
header_minor,2257.4198169915117,2.257419816991512,2.1799193952710265
hydrostatic_net,62.81775844800458,0.06281775844800458,0.060661135769931304
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
