tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_reference_density_kg_m3,balancing_restriction_K,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.10264934752046732,6.022845275181723,6.038196912968665,0.25489012394527094,102.38539258313561,-0.16020247565338377,102.54559505878899,40.0,53.6915797285921,13.691579728592103,53.72642027106809,57.95288700507719,24.234843656668644,20.357864397043162,,1016.577105067852,0.0,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.10247796507793157,6.022845275181723,6.028115592819503,0.08750544629625188,101.55040371937801,-0.6571455962930056,102.20754931567102,40.0,53.714439314784784,13.714439314784784,53.72826626785644,57.75953329582569,24.153986650981654,20.29402936886367,,1016.5713901713038,0.0,0.62,0.0
C03,compute,3,0.2,5800.0,0.10232318944032767,6.022845275181723,6.019011143548687,-0.06365980625197527,100.7321388460045,-1.1705957639653626,101.90273460996987,40.0,53.73514952341128,13.73514952341128,53.72903850427463,57.58519303482652,24.081080723654722,20.236460851488605,,1016.5662126191471,0.0,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.10218420523492698,6.022845275181723,6.010835602054528,-0.19940198657739683,99.92972088035123,-1.6996825666985251,101.62940344704975,40.0,53.75380008761891,13.753800087618913,53.72867759137773,57.42886489721523,24.01570713883546,20.18483141099908,,1016.5615499780953,0.0,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.1020601894759528,6.022845275181723,6.0035405574089875,-0.32052488301972504,99.14227670410304,-2.2435397704468323,101.38581647454988,40.0,53.77048481994842,13.770484819948422,53.727103017499644,57.28955251727063,23.95744923449499,20.13881472278427,,1016.5573787950129,0.0,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.10195031192658913,6.022845275181723,5.997077172152301,-0.42783936581609217,98.36893636576202,-2.801304547832812,101.17024091359484,40.0,53.78530129488388,13.78530129488388,53.724205965234034,57.16626356060853,23.905892034436288,20.09808531855005,,1016.553674676279,0.0,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.10185373542482452,6.022845275181723,5.991396201460266,-0.5221630688579915,97.60883229087742,-3.3721167203513787,100.98094901122879,40.0,53.798350538575505,13.798350538575505,53.71983907329934,57.05800880994585,23.860621865977354,20.062318335305584,,1016.5504123653561,0.0,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.10176961616510961,6.022845275181723,5.98644800971233,-0.6043201146038923,96.8610984943445,-3.9551180104317045,100.81621650477621,40.0,53.80973672924847,13.80973672924847,53.713801503335446,56.96380125916557,23.821225981105602,20.031189264505034,,1016.5475658176879,0.0,0.62,0.0
C09,compute,9,0.6,5800.0,0.10169710392664767,6.022845275181723,5.982182583920451,-0.6751408911138818,96.12486978719726,-4.549451298944781,100.67432108614204,40.0,53.81956691180852,13.819566911808522,53.705816582425086,56.882655208870574,23.78729217825497,20.004373699016504,,1016.5451082720479,0.0,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.02351188236854458,1.2876427829698858,1.3830519040320342,7.40959545022975,95.39928096761463,-5.154259882845718,100.55354085046034,40.0,52.78097429240131,12.78097429240131,53.695497315385126,11.056172250245552,2.764043062561388,86.73332553765339,1.8666516355942866,1016.8047564268996,150000000.0,0.62,82.9212918768416
