tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,57.053099684378594,0.01,0.02,69.0530996843786,81.0530996843786,80.0,-1.0530996843785942,,
C01,CPU,2,500.00000000000006,57.053099684378594,0.02,0.04,67.0530996843786,77.0530996843786,80.0,2.9469003156214058,,
C02,GPU,4,1200.0,57.09088082792459,0.01,0.02,69.0908808279246,81.0908808279246,80.0,-1.0908808279245932,,
C02,CPU,2,500.00000000000006,57.09088082792459,0.02,0.04,67.0908808279246,77.0908808279246,80.0,2.909119172075407,,
C03,GPU,4,1200.0,57.125652804364336,0.01,0.02,69.12565280436434,81.12565280436434,80.0,-1.1256528043643357,,
C03,CPU,2,500.00000000000006,57.125652804364336,0.02,0.04,67.12565280436434,77.12565280436434,80.0,2.8743471956356643,,
C04,GPU,4,1200.0,57.15750938581198,0.01,0.02,69.15750938581198,81.15750938581198,80.0,-1.1575093858119772,,
C04,CPU,2,500.00000000000006,57.15750938581198,0.02,0.04,67.15750938581198,77.15750938581198,80.0,2.842490614188023,,
C05,GPU,4,1200.0,57.18655064847525,0.01,0.02,69.18655064847525,81.18655064847525,80.0,-1.1865506484752473,,
C05,CPU,2,500.00000000000006,57.18655064847525,0.02,0.04,67.18655064847525,77.18655064847525,80.0,2.8134493515247527,,
C06,GPU,4,1200.0,57.21288255876817,0.01,0.02,69.21288255876817,81.21288255876817,80.0,-1.2128825587681717,,
C06,CPU,2,500.00000000000006,57.21288255876817,0.02,0.04,67.21288255876817,77.21288255876817,80.0,2.7871174412318283,,
C07,GPU,4,1200.0,57.2366165493404,0.01,0.02,69.2366165493404,81.2366165493404,80.0,-1.2366165493403969,,
C07,CPU,2,500.00000000000006,57.2366165493404,0.02,0.04,67.2366165493404,77.2366165493404,80.0,2.763383450659603,,
C08,GPU,4,1200.0,57.25786908764593,0.01,0.02,69.25786908764593,81.25786908764593,80.0,-1.257869087645929,,
