tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,50.617494415260865,0.01,0.02,62.617494415260865,74.61749441526086,80.0,5.382505584739135,,
C01,CPU,2,500.00000000000006,50.617494415260865,0.02,0.04,60.617494415260865,70.61749441526086,80.0,9.382505584739135,,
C02,GPU,4,1200.0,50.65197639780166,0.01,0.02,62.65197639780166,74.65197639780166,80.0,5.348023602198339,,
C02,CPU,2,500.00000000000006,50.65197639780166,0.02,0.04,60.65197639780166,70.65197639780166,80.0,9.348023602198339,,
C03,GPU,4,1200.0,50.68370217429839,0.01,0.02,62.68370217429839,74.68370217429839,80.0,5.316297825701611,,
C03,CPU,2,500.00000000000006,50.68370217429839,0.02,0.04,60.68370217429839,70.68370217429839,80.0,9.31629782570161,,
C04,GPU,4,1200.0,50.712757779642004,0.01,0.02,62.712757779642004,74.712757779642,80.0,5.287242220357996,,
C04,CPU,2,500.00000000000006,50.712757779642004,0.02,0.04,60.712757779642004,70.712757779642,80.0,9.287242220357996,,
C05,GPU,4,1200.0,50.73923503590345,0.01,0.02,62.73923503590345,74.73923503590345,80.0,5.260764964096552,,
C05,CPU,2,500.00000000000006,50.73923503590345,0.02,0.04,60.73923503590345,70.73923503590345,80.0,9.260764964096552,,
C06,GPU,4,1200.0,50.76323117705891,0.01,0.02,62.76323117705891,74.76323117705891,80.0,5.236768822941087,,
C06,CPU,2,500.00000000000006,50.76323117705891,0.02,0.04,60.76323117705891,70.76323117705891,80.0,9.236768822941087,,
C07,GPU,4,1200.0,50.784848465682785,0.01,0.02,62.784848465682785,74.78484846568278,80.0,5.215151534317215,,
C07,CPU,2,500.00000000000006,50.784848465682785,0.02,0.04,60.784848465682785,70.78484846568278,80.0,9.215151534317215,,
C08,GPU,4,1200.0,50.80419380444573,0.01,0.02,62.80419380444573,74.80419380444573,80.0,5.195806195554269,,
C08,CPU,2,500.00000000000006,50.80419380444573,0.02,0.04,60.80419380444573,70.80419380444573,80.0,9.195806195554269,,
C09,GPU,4,1200.0,50.821378344586435,0.01,0.02,62.821378344586435,74.82137834458644,80.0,5.178621655413565,,
C09,CPU,2,500.00000000000006,50.821378344586435,0.02,0.04,60.821378344586435,70.82137834458644,80.0,9.178621655413565,,
S01,NVSwitch,2,620.0,41.05796239782018,0.015,0.035,50.357962397820174,62.75796239782018,80.0,17.24203760217982,,
S02,NVSwitch,2,620.0,41.06336433217325,0.015,0.035,50.36336433217325,62.76336433217325,80.0,17.236635667826746,,
S03,NVSwitch,2,620.0,41.068370810697445,0.015,0.035,50.36837081069744,62.76837081069745,80.0,17.231629189302552,,
S04,NVSwitch,2,620.0,41.07299597996507,0.015,0.035,50.37299597996507,62.772995979965074,80.0,17.227004020034926,,
S05,NVSwitch,2,620.0,41.07725437399159,0.015,0.035,50.37725437399159,62.777254373991596,80.0,17.222745626008404,,
S06,NVSwitch,2,620.0,41.08116090462562,0.015,0.035,50.38116090462562,62.78116090462562,80.0,17.218839095374378,,
S07,NVSwitch,2,620.0,41.084730855130545,0.015,0.035,50.38473085513054,62.78473085513055,80.0,17.215269144869453,,
S08,NVSwitch,2,620.0,41.08797987792673,0.015,0.035,50.387979877926725,62.78797987792673,80.0,17.21202012207327,,
