component,Pa,kPa,percent
coldplates,44654.92678057833,44.65492678057833,55.53713587022091
qdcs,16871.127083248663,16.871127083248663,20.982546488323006
tubing,8731.90206700725,8.73190206700725,10.859828163725945
fittings,6417.979673927572,6.417979673927571,7.982013069121315
valves,458.42711956625516,0.45842711956625515,0.5701437906515225
restrictions,0.0,0.0,0.0
orifices,0.0,0.0,0.0
header_friction,834.9923508998418,0.8349923508998418,1.0384763112564015
header_minor,2359.2285960861163,2.3592285960861163,2.934162219850095
hydrostatic_net,76.94333484611435,0.07694333484611435,0.09569408685079504
external_piping,0.0,0.0,0.0
external_fittings,0.0,0.0,0.0
external_equipment,0.0,0.0,0.0
