tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_reference_density_kg_m3,balancing_restriction_K,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.09008121662377186,6.022845275181723,5.285939361786124,-12.235179217240741,79.23192768942697,-0.15762192231994596,79.38954961174692,40.0,56.35637019826811,16.35637019826811,54.36282315515979,44.63044073630402,18.663638853363498,16.095470022079404,,1017.8566526425022,0.0,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.08988191556089427,6.022845275181723,5.274244433891106,-12.429355347635603,78.39187839015305,-0.6513034760223564,79.0431818661754,40.0,56.39246377432829,16.39246377432829,54.27089199098299,44.433173096926495,18.581145113260174,16.02886365598873,,1017.8461855054449,0.0,0.62,0.0
C03,compute,3,0.2,5800.0,0.08969928358754926,6.022845275181723,5.263527643279175,-12.607291026244056,77.56670168066438,-1.1597394696774088,78.7264411503418,40.0,56.42567823152433,16.42567823152433,54.16856560744708,44.25278811865771,18.505711395075046,15.967941636609044,,1017.836553312858,0.0,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.08953263299270989,6.022845275181723,5.253748635269039,-12.769656279929567,76.7557125626692,-1.6822533496760614,78.43796591234526,40.0,56.45610348499184,16.456103484991843,54.054430042381,44.08850803834006,18.43701245239675,15.912445421608428,,1017.8277299893523,0.0,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.08938126862043316,6.022845275181723,5.244866618313926,-12.917128389029124,75.95823095048026,-2.2181743007039385,78.17640525118419,40.0,56.4838354530433,16.483835453043298,53.926767591985936,43.93956149108916,18.37472571445547,15.862118045639578,,1017.8196877186174,0.0,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.08924448832881338,6.022845275181723,5.236840390932814,-13.050391440201725,75.17358101777826,-2.7668367611588183,77.94041777893707,40.0,56.50897566274807,16.50897566274807,53.78347219920295,43.80518283389439,18.318531003264926,15.816703941777757,,1017.8123970578031,0.0,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.08912158346111769,6.022845275181723,5.229628369356539,-13.17013586740781,74.40109055748476,-3.3275799994527735,77.72867055693754,40.0,56.53163084606052,16.531630846060523,53.62193497806339,43.68461151239331,18.268110268819022,15.775948775725182,,1017.8058270546425,0.0,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.08901183933352103,6.022845275181723,5.223188616147933,-13.27705797671622,73.64009035256905,-3.899747766703069,77.53983811927212,40.0,56.55191252898953,16.551912528989533,53.4388868008723,43.57709147845108,18.223147345534088,15.739599295286924,,1017.799945366593,0.0,0.62,0.0
C09,compute,9,0.6,5800.0,0.08891453574811972,6.022845275181723,5.217478870305313,-13.371859446482468,72.88991355501946,-4.482688048926528,77.372601603946,40.0,56.56993661539332,16.569936615393317,53.230177898370414,43.48187067017013,18.183327734798418,15.707403198977463,,1017.794718381536,0.0,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.049716135995127524,1.2876427829698855,2.9173282735527155,126.56347801865041,72.14989506940535,-5.075752953927726,77.22564802333308,40.0,46.35235917976911,6.35235917976911,52.990462958347564,49.43388356572029,12.358470891430073,15.43329356618271,,1020.7213394296647,0.0,0.62,0.0
