parameter,value,units,classification,confidence,source,reference,range,notes
compute trays,18,trays,Published,HIGH,NVIDIA hardware,https://docs.nvidia.com/dgx/dgxgb200-user-guide/hardware.html,,4 GPUs + 2 Grace CPUs per compute tray.
switch trays,9,trays,Published,HIGH,NVIDIA hardware,https://docs.nvidia.com/dgx/dgxgb200-user-guide/hardware.html,,NVLink switch trays.
switch aggregate electrical reference,11160,W/rack,Published,HIGH,NVIDIA DPS,https://docs.nvidia.com/datacenter/dps/versions/latest/guides/runbooks/maxlps-simple-mode-pilot.html,,"Recommended aggregate static power-model input, not measured liquid heat."
switch tray electrical reference,1240,W/tray,Derived,MEDIUM,NVIDIA DPS,https://docs.nvidia.com/datacenter/dps/versions/latest/guides/runbooks/maxlps-simple-mode-pilot.html,,"11160 / 9, assuming equal distribution."
rack power context,120,kW,Estimated,LOW,NVIDIA hardware,https://docs.nvidia.com/dgx/dgxgb200-user-guide/hardware.html,,Approximate context only; actual simulation uses the sum of configured tray electrical loads.
manifold velocity advisory,1.5,m/s,Published,HIGH,OCP manifold,https://www.opencompute.org/documents/ocp-white-paper-rack-manifold-requirements-and-qualification-v3-pdf,,"Table 3 guideline; applicability depends on geometry/materials. Report separately, not universal NVL72 hard limit."
disconnected branch flow,0,kg/s,Derived,MEDIUM,OCP loop,https://www.opencompute.org/documents/cold-plate-cooling-loop-requirements-rev-2-pdf,,"Both ends of dripless QD close; excludes air purge, residual spills and pressure surge."
duration_s,300.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
dt_s,2.0,s,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
seed,72,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
scenario,heterogeneous,dimensionless / selection,User-adjustable assumption,LOW,Engineering assumption,Engineering assumption,User editable,Synthetic scenario/control assumption; not published NVL72 data.
low_load,0.3,dimensionless / selection,User-adjustable assumption,LOW,Measured H100 training workload,https://arxiv.org/abs/2412.08602,User editable,Synthetic scenario/control assumption; not published NVL72 data. Motivates fluctuating traces only; numerical settings are synthetic and are not fitted NVL72 telemetry.
high_load,1.0,dimensionless / selection,User-adjustable assumption,LOW,Measured H100 training workload,https://arxiv.org/abs/2412.08602,User editable,Synthetic scenario/control assumption; not published NVL72 data. Motivates fluctuating traces only; numerical settings are synthetic and are not fitted NVL72 telemetry.
spike_s,40.0,s,User-adjustable assumption,LOW,Measured H100 training workload,https://arxiv.org/abs/2412.08602,User editable,Synthetic scenario/control assumption; not published NVL72 data. Motivates fluctuating traces only; numerical settings are synthetic and are not fitted NVL72 telemetry.
