parameter,value,case,pump_reduction_percent,pump_savings_W,net_savings_W,savings_percent_IT,peak_temperature_reduction_K,fixed_peak_C,active_peak_C,fixed_thermal_pass,active_thermal_pass,fixed_flow_LPM,active_flow_LPM,annual_savings,payback_years,break_even_price,affordable_capex,active_actuations,pressure_residual_Pa
low_load,0.1,low_load=0.1,-51.927953500899065,-143.15763407110012,-175.35496740443347,-0.2634017403466162,0.6769554080553633,77.99288035587418,77.31592494781881,True,True,110.3209013876184,90.81679133960563,-509.33314173554044,,,0,480,0.00017886265413835645
low_load,0.3,low_load=0.3,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
low_load,0.6,low_load=0.6,-67.61526767215861,-186.40535160426617,-218.11868493759948,-0.23238660264222505,0.6667318609605388,77.99287669079037,77.32614482982983,True,True,110.32092715147594,102.38308469469604,-554.2863616064046,,,0,1049,3.590717096813023e-05
low_load,0.9,low_load=0.9,-15.419528458808921,-42.50937285159614,-65.87003951826284,-0.05980841662140563,0.454419472548409,77.99287669079037,77.53845721824196,True,True,110.32092715147594,114.3159513631191,-394.242585541598,,,0,200,1.4164834283292294e-06
correlation,0.0,correlation=0.0,-50.810592750097655,-140.0772848289485,-170.5439514956151,-0.23326481772503693,0.5599181878891102,77.85949275341245,77.29957456552334,True,True,110.32091415724021,89.1527027523099,-504.2758018121906,,,0,624,6.692376337014139e-05
correlation,0.5,correlation=0.5,-57.74290140394024,-159.18737207229765,-191.0400387389642,-0.2388398550662163,0.6433825176658559,77.85955142002486,77.216168902359,True,True,110.32062039926777,95.34276592020039,-525.8212887223991,,,0,754,6.985562504269183e-05
correlation,1.0,correlation=1.0,-23.306301992787347,-64.10439036711631,-92.18039036711633,-0.106436002844035,0.029780524082681836,71.96692908109934,71.93714855701666,True,True,110.23533305536388,99.13543731216208,-421.90002635391266,,,0,628,1.0567193385213614e-05
design_flow_scale,0.75,design_flow_scale=0.75,-57.247096341476656,-154.0462634975039,-186.52226349750396,-0.240660639109981,0.0,81.54966103883878,81.54966103883878,False,False,109.42478802191346,92.75201872233556,-521.0722033885761,,,0,736,7.814072887413204e-05
design_flow_scale,1.0,design_flow_scale=1.0,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
design_flow_scale,1.25,design_flow_scale=1.25,-68.41704879436158,-193.93667036430162,-226.25867036430162,-0.29193059955963924,2.0879632637882253,77.55130569378046,75.46334242999224,True,True,111.17525873089608,96.05200516578878,-562.8431142869538,,,0,620,7.607508450746536e-05
controlled_branches,9.0,controlled_branches=9,-88.90456117139823,-245.09671829747924,-260.51671829747943,-0.3361320989177535,0.5197714062317687,77.99287850529218,77.47310709906041,True,True,110.32091415724021,118.81781836025776,-598.8551742743102,,,0,339,2.786694676615298e-05
controlled_branches,18.0,controlled_branches=18,-88.4419090368629,-243.82125482975766,-264.2419214964244,-0.340938548109727,0.7460160508879028,77.99287850529218,77.24686245440428,True,True,110.32091415724021,116.70302417442751,-602.7711078770412,,,0,368,3.540853504091501e-05
controlled_branches,27.0,controlled_branches=27,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
pump_efficiency,0.35,pump_efficiency=0.35,-56.84157096079621,-268.63508441222604,-299.83508441222597,-0.38686268164018406,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-640.186640734132,,,0,675,6.829679477959871e-05
pump_efficiency,0.6,pump_efficiency=0.6,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
pump_efficiency,0.8,pump_efficiency=0.8,-56.84157096079614,-117.52784943034877,-148.7278494303487,-0.19189633787518198,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-481.3427153211825,,,0,675,6.829679477959871e-05
