case,pump_reduction_percent,pump_savings_W,net_savings_W,savings_percent_IT,peak_temperature_reduction_K,fixed_peak_C,active_peak_C,fixed_thermal_pass,active_thermal_pass,fixed_flow_LPM,active_flow_LPM,annual_savings,payback_years,break_even_price,affordable_capex,active_actuations,pressure_residual_Pa,max_neighbor_flow_change_LPM,time_above_limit_s
none,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05,0.0,0.0
stuck_closed,-53.640076217917525,-147.87775201873234,-178.61575201873228,-0.23045925043963036,-15.590304312170957,77.99287850529218,93.58318281746314,True,False,110.32091415724021,90.96725198199938,-512.7608785220914,,,0,669,6.338502862490714e-05,0.5045638122804039,190.0
stuck_open,-61.16040951265831,-168.6101979895384,-199.42153132287172,-0.25730393938252655,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,96.11718238986626,-534.6319137266028,,,0,663,4.742969758808613e-05,0.03974835338049587,0.0
stuck_half,-60.72575464624972,-167.41191884676874,-198.245252180102,-0.25578624339834455,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,95.85473742174855,-533.3954090917232,,,0,663,4.732157685793936e-05,0.04290972064838616,0.0
sensor_high,-57.21011110418129,-157.71980987607725,-188.97114320941063,-0.24382030994776713,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.82125317782736,-523.6464657417324,,,0,667,6.885544280521572e-05,0.020663487589922536,0.0
sensor_low,-56.60952318798832,-156.06407787123413,-187.37407787123414,-0.24175969392381946,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.48611878191346,-521.9676306582412,,,0,675,6.840401329100132e-05,0.0207613474223467,0.0
communications,-30.005757663347605,-82.7214333709789,-114.34676670431224,-0.14753609268519272,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,123.705658413303,-445.201321159573,,,0,391,4.643708234652877e-05,4.329834317047219,0.0
pump_lag,-52.994184215903175,-146.0973362012944,-177.3046695346278,-0.22876762423569086,0.6766667162235223,77.99287340547404,77.31620668925052,True,True,110.32096852025386,93.46400420346936,-511.38266861480076,,,0,674,7.396962610073388e-05,0.22105492506860092,0.0
communications fail position 0.0,10.127188207381158,27.919159180424487,0.23915918042445128,0.00030857550262753443,-27.292478338931474,77.99287850529218,105.28535684422366,True,False,110.32091415724021,59.56909412706164,-324.7485958695378,,1625.7489455266875,0,385,1.5137367881834507e-05,,
communications fail position 0.5,-35.58877394900922,-98.11298304837914,-125.70498304837918,-0.16219104889930255,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,123.27449172277197,-457.14107818045613,,,0,391,4.652261850424111e-05,,
communications fail position 1.0,-30.005757663347605,-82.7214333709789,-114.34676670431224,-0.14753609268519272,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,123.705658413303,-445.201321159573,,,0,391,4.643708234652877e-05,,
