parameter,value,case,pump_reduction_percent,pump_savings_W,net_savings_W,savings_percent_IT,peak_temperature_reduction_K,fixed_peak_C,active_peak_C,fixed_thermal_pass,active_thermal_pass,fixed_flow_LPM,active_flow_LPM,annual_savings,payback_years,break_even_price,affordable_capex,active_actuations,pressure_residual_Pa
compute_power_scale,0.8,compute_power_scale=0.8,-29.27481301154758,-80.20802973807724,-111.40069640474394,-0.1734256707069952,-1.1355954786088205,70.41834525060338,71.5539407292122,True,True,110.06687114204712,79.4657016589096,-442.10441206066685,,,0,764,7.805810309946537e-05
compute_power_scale,1.2,compute_power_scale=1.2,-12.666055400758928,-58.99241137184896,-91.84974470518222,-0.10118606114363175,0.0,84.33921204026186,84.33921204026186,False,False,131.6186154537818,107.53373935877802,-421.55245163408756,,,0,636,6.674425094388425e-05
switch_power_scale,0.7,switch_power_scale=0.7,-51.245126344939365,-141.2825132683035,-171.9838466016369,-0.23192085353312947,0.580391537750856,77.99306904103929,77.41267750328844,True,True,110.32903223879725,90.26722825937007,-505.7894195476407,,,0,693,6.456769187934697e-05
switch_power_scale,1.3,switch_power_scale=1.3,23.287336433422684,138.0848574680116,104.76552413467812,0.12957648369537955,-0.17228578466975364,77.23345314070224,77.40573892537199,True,True,142.68755463428622,99.51507353909615,-214.87048102962632,,3.711266550705185,0,713,5.92438445892185e-05
compute_liquid_fraction,0.7,compute_liquid_fraction=0.7,-15.760061038476099,-43.1696437974706,-73.72431046413726,-0.09512290566042463,0.04432633830099064,69.79473586042025,69.75040952211926,True,True,110.04612950076199,72.88800558974984,-402.49899515990114,,,0,689,6.438756827265024e-05
compute_liquid_fraction,1.0,compute_liquid_fraction=1.0,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
switch_liquid_fraction,0.5,switch_liquid_fraction=0.5,-47.96356419139911,-132.23948560959292,-162.8088189429261,-0.21006433057826424,0.5684935366452493,77.99319027851429,77.42469674186904,True,True,110.33417140343508,88.17898250283109,-496.1446304728039,,,0,718,6.571324774995446e-05
switch_liquid_fraction,1.0,switch_liquid_fraction=1.0,-56.84157096079619,-156.70379924046512,-187.90379924046505,-0.24244316774018254,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-522.5244737615768,,,0,675,6.829679477959871e-05
coldplate_scale,0.5,coldplate_scale=0.5,-38.31564169522586,-114.16489519703055,-145.9808951970304,-0.18835207592489156,-0.008236385270336655,76.78094982255044,76.78918620782078,True,True,124.98797374485216,94.81242520255059,-478.4551170311184,,,0,631,7.793426630087197e-05
coldplate_scale,1.5,coldplate_scale=1.5,-28.72125857608907,-101.60761148471028,-132.19894481804369,-0.17056989312163937,0.5173042668311751,78.01632815549144,77.49902388866026,True,True,111.41312434131176,93.00168647401162,-463.96753079272753,,,0,677,4.617197555489838e-05
qd_scale,0.5,qd_scale=0.5,-48.27915709024424,-137.6772904203915,-169.36862375372493,-0.21852812888631284,0.17221211402224412,77.30684462325308,77.13463250923084,True,True,115.80984056670361,93.9386508767921,-503.04029728991566,,,0,663,6.493591354228556e-05
qd_scale,1.5,qd_scale=1.5,-43.50540401198975,-134.15392056429937,-165.17792056429937,-0.2131210676112877,0.598302927910396,78.00413599773184,77.40583306982144,True,True,110.84597087009247,93.36363263844903,-498.6350300971915,,,0,677,5.550225614570082e-05
header_scale,0.8,header_scale=0.8,-48.54114330347428,-142.882620891079,-174.43462089107913,-0.22506453953211927,0.6015939524463505,77.99905445481357,77.39746050236722,True,True,111.13508170323625,93.56935414598581,-508.3656734807024,,,0,676,5.7932425988838077e-05
header_scale,1.2,header_scale=1.2,-56.811512294485425,-156.0540264356975,-186.98269310236418,-0.24125470912013985,0.6183188383401585,77.90512156184394,77.28680272350378,True,True,110.76227506661819,93.65172970587025,-521.5562069892053,,,0,676,6.0448976000770926e-05
valve_max_bore_fraction,0.65,valve_max_bore_fraction=0.65,-56.0461173563591,-154.51085137101256,-189.38485137101253,-0.24435409754346324,0.6138781089184704,77.99287850529218,77.37900039637371,True,True,110.32091415724021,87.06362627364584,-524.0813557612083,,,0,723,6.629840936511755e-05
valve_max_bore_fraction,0.98,valve_max_bore_fraction=0.98,-57.04274327632175,-157.2584015431812,-188.93506820984794,-0.24377376412375745,0.6937589424706374,77.99287850529218,77.29911956282155,True,True,110.32091415724021,94.12272120614354,-523.6085437021922,,,0,687,5.555895040743053e-05
valve_Cd,0.5,valve_Cd=0.5,-55.90657247361358,-154.12614678032014,-185.5094801136534,-0.2393538937817446,0.7125578232217578,77.99287850529218,77.28032068207042,True,True,110.32091415724021,91.83985732095876,-520.0075654954725,,,0,688,8.346998947672546e-05
valve_Cd,0.8,valve_Cd=0.8,-56.989887122197125,-157.11268494836224,-188.40801828169566,-0.24309373713837992,0.6841184938923703,77.99287850529218,77.30876001139981,True,True,110.32091415724021,95.53059750616654,-523.0545088177184,,,0,683,5.1998096751049154e-05
valve_body_K,0.5,valve_body_K=0.5,-58.31125432493251,-160.7554987791621,-192.62283211249525,-0.2485319072057477,0.8577776687044434,77.99287850529218,77.13510083658774,True,True,110.32091415724021,92.71645433821931,-527.4851211166549,,,0,608,6.096065044403076e-05
valve_body_K,10.0,valve_body_K=10.0,-60.028380991672776,-165.4893628843766,-196.7773628843765,-0.2538922969630616,0.4456389236556788,77.99287850529218,77.5472395816365,True,True,110.32091415724021,92.83623776013987,-531.8523638640565,,,0,704,3.7646619603037834e-05
pump_efficiency,0.35,pump_efficiency=0.35,-56.84157096079621,-268.63508441222604,-299.83508441222597,-0.38686268164018406,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-640.186640734132,,,0,675,6.829679477959871e-05
pump_efficiency,0.8,pump_efficiency=0.8,-56.84157096079614,-117.52784943034877,-148.7278494303487,-0.19189633787518198,0.6766718160416616,77.99287850529218,77.31620668925052,True,True,110.32091415724021,93.6155184612726,-481.3427153211825,,,0,675,6.829679477959871e-05
supply_offset_K,-5.0,supply_offset_K=-5.0,-54.20520148454986,-150.16681967055672,-182.47415300388997,-0.23543755828138058,0.6731455608847909,72.9908956353785,72.3177500744937,True,True,110.2300905820507,92.40116113712263,-516.8168296376891,,,0,680,6.653543096035719e-05
