design,time_s,tray,liquid_W,electrical_W,connection,bore_mm,flow_LPM,solid_C
fixed,0.0,C01,1740.0,1740.0,1.0,6.335166590900118,6.022845275154093,51.084785836683686
fixed,0.0,C02,1740.0,1740.0,1.0,6.409915367443772,6.022845275154088,51.08478583668369
fixed,0.0,C03,1740.0,1740.0,1.0,6.4832460383816315,6.022845275154085,51.08478583668369
fixed,0.0,C04,1740.0,1740.0,1.0,6.5547166358267015,6.022845275154081,51.08478583668369
fixed,0.0,C05,1740.0,1740.0,1.0,6.623845982654081,6.0228452751540775,51.0847858366837
fixed,0.0,C06,1740.0,1740.0,1.0,6.690119272723018,6.022845275154075,51.0847858366837
fixed,0.0,C07,1740.0,1740.0,1.0,6.752997820495817,6.022845275154071,51.0847858366837
fixed,0.0,C08,1740.0,1740.0,1.0,6.811934135287234,6.0228452751540695,51.0847858366837
fixed,0.0,C09,1740.0,1740.0,1.0,6.8663933242271,6.022845275154069,51.0847858366837
fixed,0.0,S01,1240.0,1240.0,1.0,1.7801868542356862,1.2876427829642292,68.62928612227627
fixed,0.0,S02,1240.0,1240.0,1.0,1.7807389892963663,1.2876427829642294,68.62928612227627
fixed,0.0,S03,1240.0,1240.0,1.0,1.781271806114026,1.2876427829642294,68.62928612227627
fixed,0.0,S04,1240.0,1240.0,1.0,1.781785594284523,1.28764278296423,68.62928612227627
fixed,0.0,S05,1240.0,1240.0,1.0,1.782280648968229,1.287642782964229,68.62928612227628
fixed,0.0,S06,1240.0,1240.0,1.0,1.7827572707454995,1.2876427829642287,68.62928612227628
fixed,0.0,S07,1240.0,1240.0,1.0,1.7832157654721774,1.2876427829642287,68.62928612227628
fixed,0.0,S08,1240.0,1240.0,1.0,1.7836564441354,1.2876427829642276,68.62928612227628
fixed,0.0,S09,1240.0,1240.0,1.0,1.7840796227099638,1.287642782964227,68.6292861222763
fixed,0.0,C10,1740.0,1740.0,1.0,7.474679259856348,6.022845275154045,51.08478583668372
fixed,0.0,C11,1740.0,1740.0,1.0,7.552138554614863,6.022845275154042,51.08478583668372
fixed,0.0,C12,1740.0,1740.0,1.0,7.62558793679496,6.022845275154037,51.08478583668372
fixed,0.0,C13,1740.0,1740.0,1.0,7.694469762738377,6.022845275154034,51.08478583668373
fixed,0.0,C14,1740.0,1740.0,1.0,7.758256671723386,6.022845275154032,51.08478583668373
fixed,0.0,C15,1740.0,1740.0,1.0,7.816570017088113,6.022845275154028,51.08478583668373
fixed,0.0,C16,1740.0,1740.0,1.0,7.86958150568617,6.022845275154023,51.084785836683736
fixed,0.0,C17,1740.0,1740.0,1.0,7.9197298547587,6.022845275154022,51.084785836683736
fixed,0.0,C18,1740.0,1740.0,1.0,8.0,6.022845275154017,51.084785836683736
fixed,2.0,C01,1740.0,1740.0,1.0,6.335166590900118,5.93091512406662,51.08563205600014
fixed,2.0,C02,1740.0,1740.0,1.0,6.409915367443772,5.93090074837453,51.08563218900754
fixed,2.0,C03,1740.0,1740.0,1.0,6.4832460383816315,5.93088716449476,51.08563231468911
fixed,2.0,C04,1740.0,1740.0,1.0,6.5547166358267015,5.930874358775759,51.08563243317111
fixed,2.0,C05,1740.0,1740.0,1.0,6.623845982654081,5.930862314959212,51.085632544603925
fixed,2.0,C06,1740.0,1740.0,1.0,6.690119272723018,5.930851014248428,51.08563264916145
fixed,2.0,C07,1740.0,1740.0,1.0,6.752997820495817,5.930840435376858,51.08563274704043
fixed,2.0,C08,1740.0,1740.0,1.0,6.811934135287234,5.9308305546736655,51.08563283845983
fixed,2.0,C09,1740.0,1740.0,1.0,6.8663933242271,5.93082134612242,51.08563292366037
fixed,2.0,S01,1240.0,1240.0,1.0,1.7801868542356862,1.2684163622716211,68.63024939400866
fixed,2.0,S02,1240.0,1240.0,1.0,1.7807389892963663,1.2684151078012187,68.63024945696955
fixed,2.0,S03,1240.0,1240.0,1.0,1.781271806114026,1.268413869767419,68.63024951910552
fixed,2.0,S04,1240.0,1240.0,1.0,1.781785594284523,1.2684126479876936,68.6302495804257
fixed,2.0,S05,1240.0,1240.0,1.0,1.782280648968229,1.2684114422703001,68.63024964093978
fixed,2.0,S06,1240.0,1240.0,1.0,1.7827572707454995,1.2684102524143477,68.63024970065777
fixed,2.0,S07,1240.0,1240.0,1.0,1.7832157654721774,1.2684090782098412,68.63024975959024
fixed,2.0,S08,1240.0,1240.0,1.0,1.7836564441354,1.2684079194376872,68.63024981774818
fixed,2.0,S09,1240.0,1240.0,1.0,1.7840796227099638,1.2684067758698183,68.63024987514306
fixed,2.0,C10,1740.0,1740.0,1.0,7.474679259856348,5.93074277483177,51.085633650631316
fixed,2.0,C11,1740.0,1740.0,1.0,7.552138554614863,5.930736121635642,51.08563371218948
fixed,2.0,C12,1740.0,1740.0,1.0,7.62558793679496,5.930729952466953,51.08563376926923
fixed,2.0,C13,1740.0,1740.0,1.0,7.694469762738377,5.930724226852774,51.085633822245086
fixed,2.0,C14,1740.0,1740.0,1.0,7.758256671723386,5.9307189015286434,51.08563387151731
fixed,2.0,C15,1740.0,1740.0,1.0,7.816570017088113,5.930713929997161,51.085633917516105
fixed,2.0,C16,1740.0,1740.0,1.0,7.86958150568617,5.930709261767863,51.085633960708655
fixed,2.0,C17,1740.0,1740.0,1.0,7.9197298547587,5.9307048409374925,51.08563400161217
fixed,2.0,C18,1740.0,1740.0,1.0,8.0,5.930700789217125,51.08563403910053
fixed,4.0,C01,1740.0,1740.0,1.0,6.335166590900118,5.8554762258481015,51.08755800054418
fixed,4.0,C02,1740.0,1740.0,1.0,6.409915367443772,5.855450100919362,51.08755843745626
fixed,4.0,C03,1740.0,1740.0,1.0,6.4832460383816315,5.855425410147412,51.08755885034929
fixed,4.0,C04,1740.0,1740.0,1.0,6.5547166358267015,5.855402128839204,51.0875592396369
fixed,4.0,C05,1740.0,1740.0,1.0,6.623845982654081,5.855380227577683,51.087559605811855
fixed,4.0,C06,1740.0,1740.0,1.0,6.690119272723018,5.855359672345455,51.08755994944391
fixed,4.0,C07,1740.0,1740.0,1.0,6.752997820495817,5.8553404246487855,51.087560271177864
fixed,4.0,C08,1740.0,1740.0,1.0,6.811934135287234,5.855322441636122,51.08756057173144
fixed,4.0,C09,1740.0,1740.0,1.0,6.8663933242271,5.855305676203893,51.08756085189361
fixed,4.0,S01,1240.0,1240.0,1.0,1.7801868542356862,1.252631062352313,68.63272435906916
fixed,4.0,S02,1240.0,1240.0,1.0,1.7807389892963663,1.2526287667541316,68.63272458468414
fixed,4.0,S03,1240.0,1240.0,1.0,1.781271806114026,1.2526265009967381,68.63272480735506
fixed,4.0,S04,1240.0,1240.0,1.0,1.781785594284523,1.2526242647513404,68.63272502711445
fixed,4.0,S05,1240.0,1240.0,1.0,1.782280648968229,1.252622057672396,68.6327252439966
fixed,4.0,S06,1240.0,1240.0,1.0,1.7827572707454995,1.2526198793977115,68.6327254580373
fixed,4.0,S07,1240.0,1240.0,1.0,1.7832157654721774,1.2526177295485228,68.63272566927404
fixed,4.0,S08,1240.0,1240.0,1.0,1.7836564441354,1.2526156077295827,68.63272587774595
fixed,4.0,S09,1240.0,1240.0,1.0,1.7840796227099638,1.2526135135292538,68.6327260834938
fixed,4.0,C10,1740.0,1740.0,1.0,7.474679259856348,5.855162483371934,51.08756324371483
fixed,4.0,C11,1740.0,1740.0,1.0,7.552138554614863,5.855150343657729,51.08756344638529
fixed,4.0,C12,1740.0,1740.0,1.0,7.62558793679496,5.855139081143504,51.08756363436738
fixed,4.0,C13,1740.0,1740.0,1.0,7.694469762738377,5.855128622519115,51.08756380888895
fixed,4.0,C14,1740.0,1740.0,1.0,7.758256671723386,5.855118889412451,51.087563971262504
