tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,58.206702193600336,0.01,0.02,70.20670219360034,82.20670219360034,80.0,-2.2067021936003357,,
C01,CPU,2,500.00000000000006,58.206702193600336,0.02,0.04,68.20670219360034,78.20670219360034,80.0,1.7932978063996643,,
C02,GPU,4,1200.0,58.24593935866989,0.01,0.02,70.24593935866989,82.24593935866989,80.0,-2.2459393586698866,,
C02,CPU,2,500.00000000000006,58.24593935866989,0.02,0.04,68.24593935866989,78.24593935866989,80.0,1.7540606413301134,,
C03,GPU,4,1200.0,58.28205680784788,0.01,0.02,70.28205680784788,82.28205680784788,80.0,-2.28205680784788,,
C03,CPU,2,500.00000000000006,58.28205680784788,0.02,0.04,68.28205680784788,78.28205680784788,80.0,1.71794319215212,,
C04,GPU,4,1200.0,58.315152013925,0.01,0.02,70.315152013925,82.315152013925,80.0,-2.315152013925001,,
C04,CPU,2,500.00000000000006,58.315152013925,0.02,0.04,68.315152013925,78.315152013925,80.0,1.684847986074999,,
C05,GPU,4,1200.0,58.34532882668003,0.01,0.02,70.34532882668003,82.34532882668003,80.0,-2.3453288266800314,,
C05,CPU,2,500.00000000000006,58.34532882668003,0.02,0.04,68.34532882668003,78.34532882668003,80.0,1.6546711733199686,,
C06,GPU,4,1200.0,58.372697057874575,0.01,0.02,70.37269705787457,82.37269705787457,80.0,-2.372697057874575,,
C06,CPU,2,500.00000000000006,58.372697057874575,0.02,0.04,68.37269705787457,78.37269705787457,80.0,1.627302942125425,,
C07,GPU,4,1200.0,58.39737205671986,0.01,0.02,70.39737205671986,82.39737205671986,80.0,-2.3973720567198598,,
C07,CPU,2,500.00000000000006,58.39737205671986,0.02,0.04,68.39737205671986,78.39737205671986,80.0,1.6026279432801402,,
C08,GPU,4,1200.0,58.419474278336565,0.01,0.02,70.41947427833657,82.41947427833657,80.0,-2.4194742783365655,,
C08,CPU,2,500.00000000000006,58.419474278336565,0.02,0.04,68.41947427833657,78.41947427833657,80.0,1.5805257216634345,,
C09,GPU,4,1200.0,58.4391288467595,0.01,0.02,70.4391288467595,82.4391288467595,80.0,-2.439128846759502,,
C09,CPU,2,500.00000000000006,58.4391288467595,0.02,0.04,68.4391288467595,78.4391288467595,80.0,1.5608711532404982,,
S01,NVSwitch,2,620.0,47.09941206847168,0.015,0.035,56.399412068471676,68.79941206847168,80.0,11.200587931528318,,
S02,NVSwitch,2,620.0,47.1056732887443,0.015,0.035,56.405673288744296,68.8056732887443,80.0,11.194326711255698,,
S03,NVSwitch,2,620.0,47.111483118299134,0.015,0.035,56.41148311829913,68.81148311829914,80.0,11.188516881700863,,
S04,NVSwitch,2,620.0,47.116857793239376,0.015,0.035,56.41685779323937,68.81685779323938,80.0,11.183142206760621,,
S05,NVSwitch,2,620.0,47.12181400454028,0.015,0.035,56.42181400454028,68.82181400454029,80.0,11.178185995459714,,
S06,NVSwitch,2,620.0,47.12636889107438,0.015,0.035,56.426368891074375,68.82636889107438,80.0,11.173631108925619,,
S07,NVSwitch,2,620.0,47.13054003710073,0.015,0.035,56.43054003710073,68.83054003710073,80.0,11.169459962899268,,
S08,NVSwitch,2,620.0,47.13434547558575,0.015,0.035,56.434345475585744,68.83434547558575,80.0,11.16565452441425,,
S09,NVSwitch,2,620.0,47.13780369922847,0.015,0.035,56.43780369922847,68.83780369922847,80.0,11.162196300771527,,
C10,GPU,4,1200.0,58.5634423777924,0.01,0.02,70.5634423777924,82.5634423777924,80.0,-2.5634423777923985,,
C10,CPU,2,500.00000000000006,58.5634423777924,0.02,0.04,68.5634423777924,78.5634423777924,80.0,1.4365576222076015,,
C11,GPU,4,1200.0,58.570058217337305,0.01,0.02,70.5700582173373,82.5700582173373,80.0,-2.570058217337305,,
C11,CPU,2,500.00000000000006,58.570058217337305,0.02,0.04,68.5700582173373,78.5700582173373,80.0,1.429941782662695,,
C12,GPU,4,1200.0,58.575379940700145,0.01,0.02,70.57537994070015,82.57537994070015,80.0,-2.575379940700145,,
C12,CPU,2,500.00000000000006,58.575379940700145,0.02,0.04,68.57537994070015,78.57537994070015,80.0,1.4246200592998548,,
C13,GPU,4,1200.0,58.57956378702045,0.01,0.02,70.57956378702045,82.57956378702045,80.0,-2.5795637870204473,,
C13,CPU,2,500.00000000000006,58.57956378702045,0.02,0.04,68.57956378702045,78.57956378702045,80.0,1.4204362129795527,,
C14,GPU,4,1200.0,58.58276845514081,0.01,0.02,70.58276845514081,82.58276845514081,80.0,-2.5827684551408083,,
C14,CPU,2,500.00000000000006,58.58276845514081,0.02,0.04,68.58276845514081,78.58276845514081,80.0,1.4172315448591917,,
C15,GPU,4,1200.0,58.5851552690155,0.01,0.02,70.5851552690155,82.5851552690155,80.0,-2.5851552690155017,,
C15,CPU,2,500.00000000000006,58.5851552690155,0.02,0.04,68.5851552690155,78.5851552690155,80.0,1.4148447309844983,,
C16,GPU,4,1200.0,58.58688858789202,0.01,0.02,70.58688858789202,82.58688858789202,80.0,-2.5868885878920196,,
C16,CPU,2,500.00000000000006,58.58688858789202,0.02,0.04,68.58688858789202,78.58688858789202,80.0,1.4131114121079804,,
C17,GPU,4,1200.0,58.588095978341414,0.01,0.02,70.58809597834141,82.58809597834141,80.0,-2.588095978341414,,
C17,CPU,2,500.00000000000006,58.588095978341414,0.02,0.04,68.58809597834141,78.58809597834141,80.0,1.4119040216585859,,
C18,GPU,4,1200.0,58.58901414235197,0.01,0.02,70.58901414235197,82.58901414235197,80.0,-2.589014142351971,,
C18,CPU,2,500.00000000000006,58.58901414235197,0.02,0.04,68.58901414235197,78.58901414235197,80.0,1.4109858576480292,,
