tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.09380684710829003,6.022845275181723,5.285339443236894,-12.245139933842594,86.02504656813964,-0.1597598800863051,86.18480644822596,40.0,58.206702193600336,18.206702193600336,55.99724941980509,48.39848510418956,20.239366498115633,17.54695484592076,,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.09360304274921454,6.022845275181723,5.273856537127899,-12.435795771479869,85.1457924750243,-0.6700124530208781,85.81580492804518,40.0,58.24593935866989,18.245939358669887,55.895319543068354,48.188412865512056,20.151518107395955,17.475873955137185,,0.62,0.0
C03,compute,3,0.2,5800.0,0.09341621604049959,6.022845275181723,5.263330199199909,-12.610569278801515,84.28235020695045,-1.1958794208147066,85.47822962776516,40.0,58.28205680784788,18.28205680784788,55.781888619946926,47.996241806289106,20.07115566444817,17.410832157027897,,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.09324566965953383,6.022845275181723,5.253721140351795,-12.77011279036589,83.43399629954537,-1.7366485832104048,85.17064488275578,40.0,58.315152013925,18.315152013925,55.65538710874392,47.821152006402,19.997936293586292,17.351556582767483,,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.09309069875043217,6.022845275181723,5.244989647036773,-12.915085687992885,82.60001223249812,-2.2916135972955645,84.89162582979368,40.0,58.34532882668003,18.34532882668003,55.51390811427575,47.66233006614043,19.931519845840544,17.29777591781274,,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.09295059137071295,6.022845275181723,5.237095606429441,-13.046153982904274,81.7796837445723,-2.8600734755283193,84.6397572201006,40.0,58.372697057874575,18.372697057874575,55.35511331238888,47.51896839890891,19.871568603180087,17.249220218011633,,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.09282462894948379,6.022845275181723,5.229998532241248,-13.163989887097905,80.97230016051165,-3.4413321470026887,84.41363230751433,40.0,58.39737205671986,18.39737205671986,55.17610562776582,47.390264567851396,19.81774700110149,17.205620738561432,,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.09271208676167435,6.022845275181723,5.223657591440084,-13.269271369710317,80.17715372733049,-4.034698098401148,84.21185182573163,40.0,58.419474278336565,18.419474278336565,54.97325409176415,47.27542067437327,19.769721372919733,17.16670977843861,,0.62,0.0
C09,compute,9,0.6,5800.0,0.09261223442716916,6.022845275181723,5.218031632372829,-13.362681690085612,79.39353895679356,-4.639484119189427,84.03302307598298,40.0,58.4391288467595,18.439128846759502,54.74194851874421,47.17364281076116,19.727159720863753,17.132220544358102,,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.0517574683875152,1.2876427829698855,2.9161601480415356,126.4727598841935,78.62075196996183,-5.2550071884862035,83.87575915844802,40.0,47.09941206847168,7.099412068471679,54.476248833359705,53.57671067769271,13.394177669423177,16.90487081133214,,0.62,0.0
S02,switch,11,0.7333333333333333,1240.0,0.05171167767052083,1.2876427829698855,2.913580171311425,126.27239556233086,77.85371424876716,-5.876098080133351,83.72981232890052,40.0,47.1056732887443,7.105673288744299,54.78287727828052,53.48195214999686,13.370488037499214,16.877372141404464,,0.62,0.0
S03,switch,12,0.7999999999999999,1240.0,0.05166926027081525,1.2876427829698855,2.911190256687339,126.08679170886357,77.09220387851187,-6.502525385572126,83.594729264084,40.0,47.111483118299134,7.111483118299134,55.11552500143728,53.39424913866494,13.348562284666235,16.851917840752847,,0.62,0.0
S04,switch,13,0.8666666666666667,1240.0,0.051630081591737216,1.2876427829698855,2.908982820617923,125.91535937540812,76.3359993560809,-7.134056727975508,83.47005608405641,40.0,47.116857793239376,7.116857793239376,55.47773306555564,53.313306503388844,13.328326625847211,16.82842295482037,,0.62,0.0
S05,switch,14,0.9333333333333333,1240.0,0.051594005710740784,1.2876427829698855,2.9069502048477776,125.75750381196858,75.5848794928199,-7.770458404495987,83.35533789731588,40.0,47.12181400454028,7.121814004540283,55.8737096649254,53.23882850559905,13.309707126399763,16.80680226531709,,0.62,0.0
S06,switch,15,1.0,1240.0,0.051560895291954116,1.2876427829698855,2.9050846714907803,125.61262408432434,74.83862331692488,-8.411494963539257,83.25011828046414,40.0,47.12636889107438,7.126368891074378,56.308495183361515,53.17051846615713,13.292629616539282,16.786970197767758,,0.62,0.0
S07,switch,16,1.0666666666666667,1240.0,0.051530611468822644,1.2876427829698855,2.903378396417874,125.48011256051721,74.0970099748531,-9.056928696443203,83.15393867129629,40.0,47.13054003710073,7.1305400371007295,56.78817881477448,53.10807836701511,13.277019591753778,16.768840712527428,,0.62,0.0
S08,switch,17,1.1333333333333333,1240.0,0.05150301368753857,1.2876427829698855,2.9018234604354487,125.35935422575304,73.35981863115082,-9.706519015096259,83.06633764624708,40.0,47.13434547558575,7.1343454755857465,57.320186570926126,53.0512083779757,13.262802094493924,16.752327173777438,,0.62,0.0
S09,switch,18,1.2,1240.0,0.05147795949828818,1.2876427829698855,2.9004118375236314,125.24972576897238,72.62682836595131,-10.360021675557858,82.98685004150917,40.0,47.13780369922847,7.137803699228471,57.91366971839659,52.999606282147965,13.249901570536991,16.737342188824233,,0.62,0.0
C10,compute,19,1.2666666666666666,5800.0,0.09198557516203397,6.022845275181723,5.1827239012893465,-13.948911776868265,71.89781806920617,-11.017187790639527,82.91500585984569,40.0,58.5634423777924,18.5634423777924,58.580037023274485,46.53740320839611,19.46109588714746,16.91650676430215,,0.62,0.0
C11,compute,20,1.3333333333333333,5800.0,0.09195246015693322,6.022845275181723,5.1808581095266195,-13.979890353894225,71.17537169122443,-11.680759722566227,82.85613141379066,40.0,58.570058217337305,18.570058217337305,58.58211344054399,46.50390210901815,19.447086336498497,16.905142968274017,,0.62,0.0
C12,compute,21,1.4,5800.0,0.09192583985751906,6.022845275181723,5.1793582475994615,-14.004793233822719,70.45878029671742,-12.350038441564918,82.80881873828234,40.0,58.575379940700145,18.575379940700145,58.58383689325251,46.47698018430633,19.435828077073552,16.89601047690249,,0.62,0.0
C13,compute,22,1.4666666666666666,5800.0,0.09190492214970485,6.022845275181723,5.178179685590604,-14.02436142717669,69.74733005800348,-13.024320674508731,82.77165073251223,40.0,58.57956378702045,18.579563787020447,58.58524713414488,46.45583093438819,19.42698384528961,16.888835952834437,,0.62,0.0
C14,compute,23,1.5333333333333332,5800.0,0.09188890634738277,6.022845275181723,5.177277310611193,-14.039343963472776,69.040300770183,-13.702897566038954,82.74319833622195,40.0,58.58276845514081,18.58276845514081,58.5863842208791,46.439641103449446,19.420213552351587,16.88334368042088,,0.62,0.0
C15,compute,24,1.5999999999999999,5800.0,0.0918769814816221,6.022845275181723,5.176605430409448,-14.05049949165002,68.33696383442509,-14.385052874625416,82.7220167090505,40.0,58.5851552690155,18.5851552690155,58.587288382205315,46.427588493958815,19.41517337020096,16.879254844890745,,0.62,0.0
C16,compute,25,1.6666666666666667,5800.0,0.09186832349080097,6.022845275181723,5.176117615054848,-14.0585989086583,67.63657926015597,-15.070060309636009,82.70663956979197,40.0,58.58688858789202,18.58688858789202,58.58799952876382,46.41883873555749,19.411514380324043,16.876286453910474,,0.62,0.0
C17,compute,26,1.7333333333333334,5800.0,0.09186229348582461,6.022845275181723,5.175777867753591,-14.064239885401584,66.93875167190409,-15.757179061741155,82.69593073364524,40.0,58.588095978341414,18.588095978341414,58.58855504900748,46.41274530461676,19.40896621829428,16.874219210734204,,0.62,0.0
C18,compute,27,1.8,5800.0,0.09185770847323513,6.022845275181723,5.175519535354262,-14.068529094031817,66.24203837084511,-16.445750182970592,82.6877885538157,40.0,58.58901414235197,18.58901414235197,58.58901414235197,46.40811233274619,19.40702879369386,16.872647427375647,,0.62,0.0
