tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,55.637887961903516,0.01,0.02,67.63788796190352,79.63788796190352,80.0,0.36211203809648396,,
C01,CPU,2,500.00000000000006,55.637887961903516,0.02,0.04,65.63788796190352,75.63788796190352,80.0,4.362112038096484,,
C02,GPU,4,1200.0,55.672308720702404,0.01,0.02,67.6723087207024,79.6723087207024,80.0,0.32769127929759634,,
C02,CPU,2,500.00000000000006,55.672308720702404,0.02,0.04,65.6723087207024,75.6723087207024,80.0,4.327691279297596,,
C03,GPU,4,1200.0,55.70397463124971,0.01,0.02,67.70397463124971,79.70397463124971,80.0,0.29602536875029273,,
C03,CPU,2,500.00000000000006,55.70397463124971,0.02,0.04,65.70397463124971,75.70397463124971,80.0,4.296025368750293,,
C04,GPU,4,1200.0,55.73297204194614,0.01,0.02,67.73297204194614,79.73297204194614,80.0,0.26702795805385904,,
C04,CPU,2,500.00000000000006,55.73297204194614,0.02,0.04,65.73297204194614,75.73297204194614,80.0,4.267027958053859,,
C05,GPU,4,1200.0,55.75939306954473,0.01,0.02,67.75939306954473,79.75939306954473,80.0,0.2406069304552716,,
C05,CPU,2,500.00000000000006,55.75939306954473,0.02,0.04,65.75939306954473,75.75939306954473,80.0,4.240606930455272,,
C06,GPU,4,1200.0,55.78333522244071,0.01,0.02,67.78333522244071,79.78333522244071,80.0,0.2166647775592878,,
C06,CPU,2,500.00000000000006,55.78333522244071,0.02,0.04,65.78333522244071,75.78333522244071,80.0,4.216664777559288,,
C07,GPU,4,1200.0,55.80490101600702,0.01,0.02,67.80490101600702,79.80490101600702,80.0,0.19509898399297754,,
C07,CPU,2,500.00000000000006,55.80490101600702,0.02,0.04,65.80490101600702,75.80490101600702,80.0,4.1950989839929775,,
C08,GPU,4,1200.0,55.824197582782915,0.01,0.02,67.82419758278292,79.82419758278292,80.0,0.1758024172170849,,
C08,CPU,2,500.00000000000006,55.824197582782915,0.02,0.04,65.82419758278292,75.82419758278292,80.0,4.175802417217085,,
C09,GPU,4,1200.0,55.84133627964019,0.01,0.02,67.84133627964019,79.84133627964019,80.0,0.15866372035981158,,
C09,CPU,2,500.00000000000006,55.84133627964019,0.02,0.04,65.84133627964019,75.84133627964019,80.0,4.158663720359812,,
S01,NVSwitch,2,620.0,46.06506379464389,0.015,0.035,55.36506379464389,67.7650637946439,80.0,12.234936205356107,,
S02,NVSwitch,2,620.0,46.070448821455045,0.015,0.035,55.37044882145504,67.77044882145505,80.0,12.229551178544952,,
S03,NVSwitch,2,620.0,46.07543924997475,0.015,0.035,55.37543924997475,67.77543924997475,80.0,12.224560750025248,,
S04,NVSwitch,2,620.0,46.080049249684635,0.015,0.035,55.38004924968463,67.78004924968464,80.0,12.219950750315363,,
S05,NVSwitch,2,620.0,46.08429337545971,0.015,0.035,55.384293375459706,67.78429337545971,80.0,12.215706624540289,,
S06,NVSwitch,2,620.0,46.088186558012865,0.015,0.035,55.38818655801286,67.78818655801287,80.0,12.211813441987132,,
S07,NVSwitch,2,620.0,46.091744097554795,0.015,0.035,55.39174409755479,67.7917440975548,80.0,12.208255902445202,,
S08,NVSwitch,2,620.0,46.09498166164303,0.015,0.035,55.39498166164303,67.79498166164304,80.0,12.205018338356965,,
S09,NVSwitch,2,620.0,46.09791528854811,0.015,0.035,55.397915288548106,67.79791528854811,80.0,12.202084711451889,,
C10,GPU,4,1200.0,55.94892696361461,0.01,0.02,67.94892696361461,79.94892696361461,80.0,0.051073036385389514,,
C10,CPU,2,500.00000000000006,55.94892696361461,0.02,0.04,65.94892696361461,75.94892696361461,80.0,4.0510730363853895,,
C11,GPU,4,1200.0,55.95454951095883,0.01,0.02,67.95454951095883,79.95454951095883,80.0,0.04545048904117266,,
C11,CPU,2,500.00000000000006,55.95454951095883,0.02,0.04,65.95454951095883,75.95454951095883,80.0,4.045450489041173,,
C12,GPU,4,1200.0,55.959036255308945,0.01,0.02,67.95903625530894,79.95903625530894,80.0,0.040963744691055126,,
C12,CPU,2,500.00000000000006,55.959036255308945,0.02,0.04,65.95903625530894,75.95903625530894,80.0,4.040963744691055,,
C13,GPU,4,1200.0,55.962525626151205,0.01,0.02,67.9625256261512,79.9625256261512,80.0,0.03747437384879504,,
C13,CPU,2,500.00000000000006,55.962525626151205,0.02,0.04,65.9625256261512,75.9625256261512,80.0,4.037474373848795,,
C14,GPU,4,1200.0,55.96515810331982,0.01,0.02,67.96515810331982,79.96515810331982,80.0,0.03484189668017734,,
C14,CPU,2,500.00000000000006,55.96515810331982,0.02,0.04,65.96515810331982,75.96515810331982,80.0,4.034841896680177,,
C15,GPU,4,1200.0,55.96707632733603,0.01,0.02,67.96707632733603,79.96707632733603,80.0,0.03292367266396923,,
C15,CPU,2,500.00000000000006,55.96707632733603,0.02,0.04,65.96707632733603,75.96707632733603,80.0,4.032923672663969,,
C16,GPU,4,1200.0,55.96842540894579,0.01,0.02,67.96842540894579,79.96842540894579,80.0,0.03157459105420912,,
C16,CPU,2,500.00000000000006,55.96842540894579,0.02,0.04,65.96842540894579,75.96842540894579,80.0,4.031574591054209,,
C17,GPU,4,1200.0,55.96935362154181,0.01,0.02,67.96935362154181,79.96935362154181,80.0,0.03064637845818652,,
