tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,55.88233375613163,0.01,0.02,67.88233375613163,79.88233375613163,80.0,0.11766624386837066,,
C01,CPU,2,500.00000000000006,55.88233375613163,0.02,0.04,65.88233375613163,75.88233375613163,80.0,4.117666243868371,,
C02,GPU,4,1200.0,55.9171007047421,0.01,0.02,67.9171007047421,79.9171007047421,80.0,0.08289929525790285,,
C02,CPU,2,500.00000000000006,55.9171007047421,0.02,0.04,65.9171007047421,75.9171007047421,80.0,4.082899295257903,,
C03,GPU,4,1200.0,55.94906233444436,0.01,0.02,67.94906233444436,79.94906233444436,80.0,0.05093766555563661,,
C03,CPU,2,500.00000000000006,55.94906233444436,0.02,0.04,65.94906233444436,75.94906233444436,80.0,4.050937665555637,,
C04,GPU,4,1200.0,55.97830821050627,0.01,0.02,67.97830821050627,79.97830821050627,80.0,0.02169178949372963,,
C04,CPU,2,500.00000000000006,55.97830821050627,0.02,0.04,65.97830821050627,75.97830821050627,80.0,4.02169178949373,,
C05,GPU,4,1200.0,56.00493374742575,0.01,0.02,68.00493374742575,80.00493374742575,80.0,-0.004933747425752699,,
C05,CPU,2,500.00000000000006,56.00493374742575,0.02,0.04,66.00493374742575,76.00493374742575,80.0,3.9950662525742473,,
C06,GPU,4,1200.0,56.029039813154384,0.01,0.02,68.02903981315438,80.02903981315438,80.0,-0.029039813154383864,,
C06,CPU,2,500.00000000000006,56.029039813154384,0.02,0.04,66.02903981315438,76.02903981315438,80.0,3.970960186845616,,
C07,GPU,4,1200.0,56.0507323254335,0.01,0.02,68.0507323254335,80.0507323254335,80.0,-0.05073232543350059,,
C07,CPU,2,500.00000000000006,56.0507323254335,0.02,0.04,66.0507323254335,76.0507323254335,80.0,3.9492676745664994,,
C08,GPU,4,1200.0,56.070121843085815,0.01,0.02,68.07012184308581,80.07012184308581,80.0,-0.07012184308581482,,
C08,CPU,2,500.00000000000006,56.070121843085815,0.02,0.04,66.07012184308581,76.07012184308581,80.0,3.929878156914185,,
C09,GPU,4,1200.0,56.08732315436748,0.01,0.02,68.08732315436748,80.08732315436748,80.0,-0.08732315436748195,,
C09,CPU,2,500.00000000000006,56.08732315436748,0.02,0.04,66.08732315436748,76.08732315436748,80.0,3.912676845632518,,
S01,NVSwitch,2,620.0,46.14836067128027,0.015,0.035,55.44836067128027,67.84836067128028,80.0,12.151639328719725,,
S02,NVSwitch,2,620.0,46.15373441658079,0.015,0.035,55.45373441658079,67.85373441658079,80.0,12.146265583419208,,
S03,NVSwitch,2,620.0,46.15871090317836,0.015,0.035,55.45871090317836,67.85871090317836,80.0,12.141289096821637,,
S04,NVSwitch,2,620.0,46.163304651365536,0.015,0.035,55.46330465136553,67.86330465136554,80.0,12.136695348634461,,
S05,NVSwitch,2,620.0,46.167530562726995,0.015,0.035,55.46753056272699,67.867530562727,80.0,12.132469437273002,,
S06,NVSwitch,2,620.0,46.17140391007899,0.015,0.035,55.47140391007899,67.871403910079,80.0,12.128596089921004,,
S07,NVSwitch,2,620.0,46.1749403307096,0.015,0.035,55.4749403307096,67.8749403307096,80.0,12.125059669290394,,
S08,NVSwitch,2,620.0,46.17815592419345,0.015,0.035,55.478155924193445,67.87815592419345,80.0,12.12184407580655,,
S09,NVSwitch,2,620.0,46.18106748640156,0.015,0.035,55.48106748640156,67.88106748640156,80.0,12.118932513598438,,
C10,GPU,4,1200.0,56.19486660763391,0.01,0.02,68.19486660763391,80.19486660763391,80.0,-0.19486660763391228,,
C10,CPU,2,500.00000000000006,56.19486660763391,0.02,0.04,66.19486660763391,76.19486660763391,80.0,3.8051333923660877,,
C11,GPU,4,1200.0,56.20045113278337,0.01,0.02,68.20045113278337,80.20045113278337,80.0,-0.20045113278337112,,
