tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.08737656991969217,6.022845275181723,5.28368180495911,-12.272662445247882,73.37395764768871,-0.1635923014390811,73.53754994912781,40.0,55.88233375613163,15.88233375613163,53.93382190731694,41.990657340119704,17.559729433140966,13.987163175867153,,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.08718563621810556,6.022845275181723,5.27213599896153,-12.464362637931824,72.56773755815496,-0.6519897441613317,73.21972730231629,40.0,55.9171007047421,15.917100704742097,53.84406972338428,41.80734339515712,17.48307087433843,13.929313032820753,,0.62,0.0
C03,compute,3,0.2,5800.0,0.08701084298521664,6.022845275181723,5.2615662109154435,-12.639857567041842,71.77527472309355,-1.154095516722165,72.92937023981573,40.0,55.94906233444436,15.949062334444363,53.74420039289237,41.63987738348913,17.413039633095455,13.876453223231115,,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.08685151429738036,6.022845275181723,5.251931567558509,-12.799825869675093,70.99592758311084,-1.6692729867458904,72.66520056985672,40.0,55.97830821050627,15.97830821050627,53.632838755187095,41.48752044661436,17.34932673222055,13.828353391021876,,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.08670696718326683,6.022845275181723,5.243190769453216,-12.944953258906072,70.22905939825908,-2.1968909456289585,72.42595034388803,40.0,56.00493374742575,16.004933747425753,53.50831437616773,41.3495398696606,17.291625763676254,13.784784710551175,,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.08657651208237695,6.022845275181723,5.235302118713441,-13.075932063430267,69.47403765211737,-2.736323134627129,72.21036078674452,40.0,56.029039813154384,16.029039813154384,53.36857936888185,41.22520844392479,17.239632622004912,13.745519720814814,,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.0864594533111354,6.022845275181723,5.228223547189195,-13.193460759600075,68.73023347100431,-3.286947820931602,72.01718129193591,40.0,56.0507323254335,16.0507323254335,53.21109723561,41.11380386773221,17.193045253778923,13.710332170424795,,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.0863550895391363,6.022845275181723,5.221912645265312,-13.298243493267318,67.99702105669658,-3.848147435017224,71.8451684917138,40.0,56.070121843085815,16.070121843085815,53.03269005827178,41.01460819121736,17.15156342541817,13.678996875078305,,0.62,0.0
C09,compute,9,0.6,5800.0,0.08626271428140035,6.022845275181723,5.216326691628353,-13.390989585549917,67.27377713058554,-4.419308286096127,71.69308541668167,40.0,56.08732315436748,16.087323154367482,52.82932460778818,40.926907313569814,17.114888512947378,13.65128959016447,,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.04826375687233517,1.2876427829698858,2.918520768893853,126.65608874554684,66.55988038660604,-4.999820381317556,71.55970076792359,40.0,46.14836067128027,6.1483606712802725,52.59580684557608,46.58780454863761,11.646951137159402,13.324945082126606,,0.62,0.0
