tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,59.2646633956482,0.01,0.02,71.2646633956482,83.2646633956482,80.0,-3.264663395648199,,
C01,CPU,2,500.00000000000006,59.2646633956482,0.02,0.04,69.2646633956482,79.2646633956482,80.0,0.7353366043518008,,
C02,GPU,4,1200.0,55.40447195816796,0.01,0.02,67.40447195816796,79.40447195816796,80.0,0.5955280418320399,,
C02,CPU,2,500.00000000000006,55.40447195816796,0.02,0.04,65.40447195816796,75.40447195816796,80.0,4.59552804183204,,
C03,GPU,4,1200.0,55.43502491159563,0.01,0.02,67.43502491159563,79.43502491159563,80.0,0.5649750884043669,,
C03,CPU,2,500.00000000000006,55.43502491159563,0.02,0.04,65.43502491159563,75.43502491159563,80.0,4.564975088404367,,
C04,GPU,4,1200.0,55.4629747018127,0.01,0.02,67.4629747018127,79.4629747018127,80.0,0.5370252981873023,,
C04,CPU,2,500.00000000000006,55.4629747018127,0.02,0.04,65.4629747018127,75.4629747018127,80.0,4.537025298187302,,
C05,GPU,4,1200.0,55.48841299073672,0.01,0.02,67.48841299073672,79.48841299073672,80.0,0.5115870092632804,,
C05,CPU,2,500.00000000000006,55.48841299073672,0.02,0.04,65.48841299073672,75.48841299073672,80.0,4.51158700926328,,
C06,GPU,4,1200.0,55.511436665840165,0.01,0.02,67.51143666584017,79.51143666584017,80.0,0.488563334159835,,
C06,CPU,2,500.00000000000006,55.511436665840165,0.02,0.04,65.51143666584017,75.51143666584017,80.0,4.488563334159835,,
C07,GPU,4,1200.0,55.532147462843966,0.01,0.02,67.53214746284397,79.53214746284397,80.0,0.46785253715603403,,
C07,CPU,2,500.00000000000006,55.532147462843966,0.02,0.04,65.53214746284397,75.53214746284397,80.0,4.467852537156034,,
C08,GPU,4,1200.0,55.550651584468255,0.01,0.02,67.55065158446826,79.55065158446826,80.0,0.44934841553174465,,
C08,CPU,2,500.00000000000006,55.550651584468255,0.02,0.04,65.55065158446826,75.55065158446826,80.0,4.449348415531745,,
C09,GPU,4,1200.0,55.56705931740248,0.01,0.02,67.56705931740248,79.56705931740248,80.0,0.4329406825975184,,
C09,CPU,2,500.00000000000006,55.56705931740248,0.02,0.04,65.56705931740248,75.56705931740248,80.0,4.432940682597518,,
S01,NVSwitch,2,620.0,49.11246861666939,0.015,0.035,58.412468616669386,70.81246861666939,80.0,9.187531383330608,,
S02,NVSwitch,2,620.0,45.96483262025282,0.015,0.035,55.26483262025282,67.66483262025282,80.0,12.335167379747176,,
S03,NVSwitch,2,620.0,45.969723784625046,0.015,0.035,55.26972378462504,67.66972378462505,80.0,12.330276215374951,,
S04,NVSwitch,2,620.0,45.97424114797258,0.015,0.035,55.274241147972575,67.67424114797258,80.0,12.32575885202742,,
S05,NVSwitch,2,620.0,45.97839899191189,0.015,0.035,55.278398991911885,67.67839899191189,80.0,12.321601008088109,,
S06,NVSwitch,2,620.0,45.98221196381098,0.015,0.035,55.28221196381098,67.68221196381099,80.0,12.317788036189015,,
S07,NVSwitch,2,620.0,45.98569506993891,0.015,0.035,55.28569506993891,67.68569506993892,80.0,12.314304930061084,,
S08,NVSwitch,2,620.0,45.98886367256068,0.015,0.035,55.28886367256068,67.68886367256069,80.0,12.311136327439314,,
S09,NVSwitch,2,620.0,45.99173349222173,0.015,0.035,55.291733492221724,67.69173349222173,80.0,12.30826650777827,,
C10,GPU,4,1200.0,55.672087331416606,0.01,0.02,67.6720873314166,79.6720873314166,80.0,0.3279126685833944,,
C10,CPU,2,500.00000000000006,55.672087331416606,0.02,0.04,65.6720873314166,75.6720873314166,80.0,4.327912668583394,,
C11,GPU,4,1200.0,55.6775799796992,0.01,0.02,67.6775799796992,79.6775799796992,80.0,0.32242002030079675,,
C11,CPU,2,500.00000000000006,55.6775799796992,0.02,0.04,65.6775799796992,75.6775799796992,80.0,4.322420020300797,,
C12,GPU,4,1200.0,55.68195731636001,0.01,0.02,67.68195731636001,79.68195731636001,80.0,0.31804268363998744,,
C12,CPU,2,500.00000000000006,55.68195731636001,0.02,0.04,65.68195731636001,75.68195731636001,80.0,4.3180426836399874,,
C13,GPU,4,1200.0,55.68535532779697,0.01,0.02,67.68535532779697,79.68535532779697,80.0,0.3146446722030305,,
C13,CPU,2,500.00000000000006,55.68535532779697,0.02,0.04,65.68535532779697,75.68535532779697,80.0,4.3146446722030305,,
C14,GPU,4,1200.0,55.687912006861325,0.01,0.02,67.68791200686132,79.68791200686132,80.0,0.3120879931386753,,
C14,CPU,2,500.00000000000006,55.687912006861325,0.02,0.04,65.68791200686132,75.68791200686132,80.0,4.312087993138675,,
C15,GPU,4,1200.0,55.68976746018075,0.01,0.02,67.68976746018075,79.68976746018075,80.0,0.31023253981925336,,
C15,CPU,2,500.00000000000006,55.68976746018075,0.02,0.04,65.68976746018075,75.68976746018075,80.0,4.310232539819253,,
C16,GPU,4,1200.0,55.691064210479055,0.01,0.02,67.69106421047906,79.69106421047906,80.0,0.3089357895209446,,
