tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.07290464188847431,6.022845275181723,4.2885083463808416,-28.79597349026291,81.39370217402401,-0.1602024756533835,81.55390464967739,40.0,59.2646633956482,19.2646633956482,53.72642027106804,29.232977448876763,12.224699660439372,40.09622754036126,4.0,0.62,29.393031633816058
C02,compute,2,0.13333333333333333,5800.0,0.09121637665583449,6.022845275181723,5.3656692150490874,-10.911388722547045,80.55369951761281,-0.6522247780087647,81.20592429562157,40.0,55.40447195816796,15.40447195816796,53.52101886866325,45.76235053620487,19.13698295150385,16.306590807912844,,0.62,0.0
C03,compute,3,0.2,5800.0,0.09103548092827263,6.022845275181723,5.35502828989839,-11.088064772893972,79.72884493040472,-1.1592169613019896,80.88806189170671,40.0,55.43502491159563,15.435024911595633,53.429412313369994,45.58102333313039,19.061155212036343,16.245883346539966,,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.09087062391438533,6.022845275181723,5.345330818493254,-11.249076237775785,78.91843460871642,-1.680484448845408,80.59891905756184,40.0,55.4629747018127,15.462974701812698,53.32709047741423,45.416086598243126,18.992181668356213,16.190650790962497,,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.09072109775403323,6.022845275181723,5.3365351620019545,-11.39511446538134,78.12176966869355,-2.215338245063059,80.33710791375661,40.0,55.48841299073672,15.48841299073672,53.212482992373396,45.26674667733269,18.929730428702758,16.14063080772118,,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.0905861875029924,6.022845275181723,5.328599264881905,-11.52687772273663,77.33815548015065,-2.7630943997912083,80.10124987994185,40.0,55.511436665840165,15.511436665840165,53.083660472855456,45.13221551480012,18.87347194255278,16.09556242258896,,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.0904651715778617,6.022845275181723,5.321480681050688,-11.645070761175639,76.56690101382067,-3.3230735225472032,79.88997453636787,40.0,55.532147462843966,15.532147462843966,52.93822750166544,45.01170997736576,18.8230787178075,16.05518584119459,,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.09035732220685148,6.022845275181723,5.3151366004030285,-11.750404376066955,75.80731819972472,-3.8946003580755653,79.70191855780028,40.0,55.550651584468255,15.550651584468255,52.773174997860906,44.90445122016027,18.778225055703388,16.019242281936627,,0.62,0.0
C09,compute,9,0.6,5800.0,0.09026190589138046,6.022845275181723,5.309523875963556,-11.843594955984397,75.05872129373978,-4.477003440218197,79.53572473395798,40.0,55.56705931740248,15.567059317402482,52.58467275997032,44.809664103294324,18.738586806832174,15.987473823831477,,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.032991982282794347,1.2876427829698858,1.9407048401643734,50.71764202244285,74.32042624858356,-5.069614850339927,79.39004109892349,40.0,49.11246861666939,9.11246861666939,52.3677718437425,21.769417898964324,5.442354474741081,52.17826872521809,2.5,0.62,45.01897605821109
S02,switch,11,0.7333333333333333,1240.0,0.050421056464232276,1.2876427829698858,2.9659444978960163,130.33907673176319,73.58572851130678,-5.665752053837627,79.2514805651444,40.0,45.96483262025282,5.964832620252821,52.456598923771594,50.845658699385986,12.711414674846496,15.694407190911924,,0.62,0.0
S03,switch,12,0.7999999999999999,1240.0,0.05037971517641208,1.2876427829698858,2.9635126574360044,130.15021686378003,72.8563541491505,-6.267067865519346,79.12342201466986,40.0,45.969723784625046,5.969723784625046,52.73898748851826,50.762314025128106,12.690578506282026,15.670529483259722,,0.62,0.0
S04,switch,13,0.8666666666666667,1240.0,0.05034159347465717,1.2876427829698858,2.961270204391598,129.97606506686364,72.13208791322577,-6.8733393828022855,79.00542729602805,40.0,45.97424114797258,5.974241147972577,53.046574736927425,50.68552067135291,12.671380167838228,15.648526456836896,,0.62,0.0
S05,switch,14,0.9333333333333333,1240.0,0.05030655664669313,1.2876427829698858,2.9592092145113607,129.8160059334226,71.41271491408985,-7.484342881703527,78.89705779579337,40.0,45.97839899191189,5.978398991911888,53.382963703432665,50.6149928329389,12.653748208234726,15.628316754619744,,0.62,0.0
S06,switch,15,1.0,1240.0,0.050274468757278125,1.2876427829698858,2.9573216916045957,129.6694184689698,70.69802052866248,-8.0998534885434,78.79787401720588,40.0,45.98221196381098,5.9822119638109825,53.75247317170437,50.55044417653068,12.63761104413267,15.60981879654251,,0.62,0.0
S07,switch,16,1.0666666666666667,1240.0,0.05024519256694573,1.2876427829698858,2.9555995627615133,129.5356757209143,69.98779030661893,-8.719644789608948,78.70743509622788,40.0,45.98569506993891,5.985695069938913,54.16032487230922,50.491587521789164,12.622896880447291,15.592950693991428,,0.62,0.0
S08,switch,17,1.1333333333333333,1240.0,0.05021858942072486,1.2876427829698858,2.9540346718073445,129.41414427019942,69.28180987573319,-9.343488357893783,78.62529823362698,40.0,45.98886367256068,5.988863672560683,54.61289267935672,50.43813446814677,12.609533617036693,15.577630148443546,,0.62,0.0
S09,switch,18,1.2,1240.0,0.05019451909699019,1.2876427829698858,2.9526187704111875,129.3041835408043,68.57986484551931,-9.971153167585667,78.55101801310497,40.0,45.99173349222173,5.9917334922217265,55.11803916132101,50.38979494756225,12.597448736890563,15.56377432865214,,0.62,0.0
C10,compute,19,1.2666666666666666,5800.0,0.08965586636093639,6.022845275181723,5.273874491819788,-12.435497661681795,67.88174070835349,-10.60240485436251,78.48414556271601,40.0,55.672087331416606,15.672087331416606,55.68557742709754,44.20995905111547,18.487801057739198,15.786385453861321,,0.62,0.0
C11,compute,20,1.3333333333333333,5800.0,0.08962439575289033,6.022845275181723,5.272023279581783,-12.466234168323133,67.18991030236354,-11.239817591202016,78.42972789356556,40.0,55.6775799796992,15.677579979699203,55.68726532216243,44.17892772738889,18.474824322362622,15.775975843814056,,0.62,0.0
C12,compute,21,1.4,5800.0,0.08959933120542501,6.022845275181723,5.270548894436765,-12.490714045817148,66.50368705797527,-11.882713614172532,78.3864006721478,40.0,55.68195731636001,15.681957316360013,55.68864991949221,44.15422083852697,18.464492350656734,15.767687482964105,,0.62,0.0
C13,compute,22,1.4666666666666666,5800.0,0.0895798839007791,6.022845275181723,5.269404935339947,-12.509707711510872,65.82238021378237,-12.530411504903707,78.35279171868608,40.0,55.68535532779697,15.68535532779697,55.68976590876292,44.135055798223846,18.456477879257243,15.761258041204952,,0.62,0.0
C14,compute,23,1.5333333333333332,5800.0,0.08956525721544005,6.022845275181723,5.268544542084708,-12.523993206421125,65.14529349715383,-13.182224989204707,78.32751848635854,40.0,55.687912006861325,15.687912006861325,55.69064832262569,44.12064415037365,18.450451190156254,15.75642314582862,,0.62,0.0
C15,compute,24,1.5999999999999999,5800.0,0.0895546452069179,6.022845275181723,5.267920306289288,-12.53435767316233,64.47172334701747,-13.837461331449381,78.30918467846686,40.0,55.68976746018075,15.689767460180747,55.69133255072177,44.110189629753194,18.44607929971497,15.752915748998701,,0.62,0.0
C16,compute,25,1.6666666666666667,5800.0,0.08954723011295254,6.022845275181723,5.267484124291326,-12.54159979840436,63.800956290513255,-14.495418980563679,78.29637527107694,40.0,55.691064210479055,15.691064210479055,55.691854316958654,44.102885314961405,18.44302476807477,15.750465188040758,,0.62,0.0
C17,compute,26,1.7333333333333334,5800.0,0.08954217784159263,6.022845275181723,5.267186931858389,-12.546534217592589,63.13226453903339,-15.155383640927012,78.28764817996041,40.0,55.691947873571735,15.691947873571735,55.69224940003801,44.09790886938472,18.440943709015425,15.748795601560248,,0.62,0.0
C18,compute,27,1.8,5800.0,0.08953873019625225,6.022845275181723,5.266984129191308,-12.549901441185682,62.46499980370297,-15.816693327977418,78.2816931316804,40.0,55.69255093809244,15.692550938092438,55.69255093809244,44.094513128364895,18.439523671861686,15.747656331453829,,0.62,0.0
