tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,55.845428686981336,0.01,0.02,67.84542868698134,79.84542868698134,80.0,0.1545713130186641,,
C01,CPU,2,500.00000000000006,55.845428686981336,0.02,0.04,65.84542868698134,75.84542868698134,80.0,4.154571313018664,,
C02,GPU,4,1200.0,55.87099153934258,0.01,0.02,67.87099153934258,79.87099153934258,80.0,0.1290084606574169,,
C02,CPU,2,500.00000000000006,55.87099153934258,0.02,0.04,65.87099153934258,75.87099153934258,80.0,4.129008460657417,,
C03,GPU,4,1200.0,55.89414842598114,0.01,0.02,67.89414842598114,79.89414842598114,80.0,0.10585157401885681,,
C03,CPU,2,500.00000000000006,55.89414842598114,0.02,0.04,65.89414842598114,75.89414842598114,80.0,4.105851574018857,,
C04,GPU,4,1200.0,55.91500069748275,0.01,0.02,67.91500069748275,79.91500069748275,80.0,0.08499930251724663,,
C04,CPU,2,500.00000000000006,55.91500069748275,0.02,0.04,65.91500069748275,75.91500069748275,80.0,4.084999302517247,,
C05,GPU,4,1200.0,55.933654174025264,0.01,0.02,67.93365417402526,79.93365417402526,80.0,0.06634582597473582,,
C05,CPU,2,500.00000000000006,55.933654174025264,0.02,0.04,65.93365417402526,75.93365417402526,80.0,4.066345825974736,,
C06,GPU,4,1200.0,55.950218804330916,0.01,0.02,67.95021880433092,79.95021880433092,80.0,0.0497811956690839,,
C06,CPU,2,500.00000000000006,55.950218804330916,0.02,0.04,65.95021880433092,75.95021880433092,80.0,4.049781195669084,,
C07,GPU,4,1200.0,55.964808333839585,0.01,0.02,67.96480833383958,79.96480833383958,80.0,0.035191666160415025,,
C07,CPU,2,500.00000000000006,55.964808333839585,0.02,0.04,65.96480833383958,75.96480833383958,80.0,4.035191666160415,,
C08,GPU,4,1200.0,55.977539986145814,0.01,0.02,67.97753998614581,79.97753998614581,80.0,0.022460013854185945,,
C08,CPU,2,500.00000000000006,55.977539986145814,0.02,0.04,65.97753998614581,75.97753998614581,80.0,4.022460013854186,,
C09,GPU,4,1200.0,55.98853416188251,0.01,0.02,67.98853416188251,79.98853416188251,80.0,0.011465838117487692,,
C09,CPU,2,500.00000000000006,55.98853416188251,0.02,0.04,65.98853416188251,75.98853416188251,80.0,4.011465838117488,,
S01,NVSwitch,2,620.0,55.90316891824784,0.015,0.035,65.20316891824784,77.60316891824785,80.0,2.396831081752154,,
S02,NVSwitch,2,620.0,55.912040223392125,0.015,0.035,65.21204022339212,77.61204022339213,80.0,2.3879597766078717,,
S03,NVSwitch,2,620.0,55.920604352073724,0.015,0.035,65.22060435207372,77.62060435207373,80.0,2.3793956479262732,,
S04,NVSwitch,2,620.0,55.92886601012094,0.015,0.035,65.22886601012094,77.62886601012094,80.0,2.3711339898790555,,
S05,NVSwitch,2,620.0,55.93682998298294,0.015,0.035,65.23682998298294,77.63682998298295,80.0,2.3631700170170546,,
S06,NVSwitch,2,620.0,55.94450113366196,0.015,0.035,65.24450113366196,77.64450113366196,80.0,2.3554988663380385,,
S07,NVSwitch,2,620.0,55.951884400658,0.015,0.035,65.251884400658,77.651884400658,80.0,2.3481155993419947,,
S08,NVSwitch,2,620.0,55.958984795929155,0.015,0.035,65.25898479592915,77.65898479592916,80.0,2.3410152040708425,,
S09,NVSwitch,2,620.0,55.96580740287072,0.015,0.035,65.26580740287072,77.66580740287073,80.0,2.334192597129274,,
C10,GPU,4,1200.0,56.06858669749596,0.01,0.02,68.06858669749596,80.06858669749596,80.0,-0.06858669749595947,,
C10,CPU,2,500.00000000000006,56.06858669749596,0.02,0.04,66.06858669749596,76.06858669749596,80.0,3.9314133025040405,,
C11,GPU,4,1200.0,56.074030081808644,0.01,0.02,68.07403008180864,80.07403008180864,80.0,-0.0740300818086439,,
C11,CPU,2,500.00000000000006,56.074030081808644,0.02,0.04,66.07403008180864,76.07403008180864,80.0,3.925969918191356,,
C12,GPU,4,1200.0,56.07835929705209,0.01,0.02,68.07835929705209,80.07835929705209,80.0,-0.07835929705208855,,
C12,CPU,2,500.00000000000006,56.07835929705209,0.02,0.04,66.07835929705209,76.07835929705209,80.0,3.9216407029479114,,
C13,GPU,4,1200.0,56.081709354517955,0.01,0.02,68.08170935451795,80.08170935451795,80.0,-0.08170935451795458,,
C13,CPU,2,500.00000000000006,56.081709354517955,0.02,0.04,66.08170935451795,76.08170935451795,80.0,3.9182906454820454,,
