tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa,orifice_diameter_mm,orifice_Cd,orifice_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.10342517692744217,6.022845275181723,6.083833936908363,1.0126220903923084,103.92259847792857,-0.1602024756533835,104.08280095358195,40.0,53.58904308881125,13.589043088811252,53.72642027106804,58.83221972359994,24.60256461168725,20.648016618294772,,0.62,0.0
C02,compute,2,0.13333333333333333,5800.0,0.10325518342498413,6.022845275181723,6.073834319116713,0.8465939536102666,103.08773942860655,-0.6572729550832239,103.74501238368978,40.0,53.611378487538275,13.611378487538275,53.733756941208355,58.638980972699144,24.52175567949237,20.584275731498295,,0.62,0.0
C03,compute,3,0.2,5800.0,0.10310179538041028,6.022845275181723,6.06481149296531,0.6967839263033534,102.26972144424367,-1.1709649288268003,103.44068637307046,40.0,53.63159520808779,13.631595208087788,53.74064936292632,58.464891158651945,24.448954484527178,20.526840729891315,,0.62,0.0
C04,compute,4,0.26666666666666666,5800.0,0.10296418976485874,6.022845275181723,6.056717044991691,0.5623881780516979,101.46765464885505,-1.700394986380163,103.16804963523522,40.0,53.649782958805815,13.649782958805815,53.74714769031607,58.30893405663613,24.383736060047838,20.475379518551197,,0.62,0.0
C05,compute,5,0.3333333333333333,5800.0,0.10284153591735465,6.022845275181723,6.049502112785567,0.4425954243534793,100.68065306749025,-2.2446837895306273,102.92533685702088,40.0,53.66603544764456,13.66603544764456,53.75330834949182,58.170098304123,24.325677472633256,20.429561080264577,,0.62,0.0
C06,compute,6,0.39999999999999997,5800.0,0.10273299589831768,6.022845275181723,6.043117405783393,0.33658727188633664,99.90783381847253,-2.80295527916288,102.71078909763541,40.0,53.68045006890708,13.680450068907078,53.75919598186147,58.04737645434066,24.27435742636064,20.38905521693407,,0.62,0.0
C07,compute,7,0.4666666666666667,5800.0,0.10263772480315186,6.022845275181723,6.037513223714815,0.24353852478220012,99.14831631278398,-3.3743358906965577,102.52265220348053,40.0,53.69312759796702,13.69312759796702,53.76488623981231,57.93976404022144,24.22935587136533,20.353532291893767,,0.62,0.0
C08,compute,8,0.5333333333333333,5800.0,0.10255487102661555,6.022845275181723,6.032639472153855,0.1626174428304034,98.40122145457684,-3.9579537722712606,102.3591752268481,40.0,53.70417189758757,13.704171897587571,53.770469896887334,57.84625864207162,24.190253613957225,20.32266297081925,,0.62,0.0
C09,compute,9,0.6,5800.0,0.10248357646681125,6.022845275181723,6.028445674518308,0.09298594070916552,97.66567083477521,-4.552937997717222,102.21860883249244,40.0,53.71368963955359,13.713689639553593,53.7760590452238,57.765858949858114,24.156631924486124,20.296117958148194,,0.62,0.0
S01,switch,10,0.6666666666666666,1240.0,0.02193640060879328,1.2876427829698858,1.2903765063996047,0.212304488937046,96.94078590683016,-5.158417763283698,102.09920367011385,40.0,53.69738838252982,13.697388382529823,53.78179672042279,9.624113433389326,2.4060283583473314,90.0690618783772,,0.62,0.0
S02,switch,11,0.7333333333333333,1240.0,0.02192413018777489,1.2876427829698858,1.2896547169279347,0.15624938722589085,96.21807052390359,-5.766031564644327,101.98410208854793,40.0,53.705041781012994,13.705041781012994,53.78349221767172,9.613349689810043,2.403337422452511,89.96741497628537,,0.62,0.0
S03,switch,12,0.7999999999999999,1240.0,0.021912303099835464,1.2876427829698858,1.2889590058726743,0.1022195689826897,95.49748342385955,-6.375738550305288,101.87322197416485,40.0,53.71242675958871,13.712426759588709,53.785099425179965,9.602980542781177,2.4007451356952942,89.86949629568834,,0.62,0.0
S04,switch,13,0.8666666666666667,1240.0,0.02190091133455406,1.2876427829698858,1.2882889020325918,0.050178440111761015,94.77898341280171,-6.987497940239744,101.76648135304146,40.0,53.71954744608075,13.719547446080753,53.78661856793332,9.59299834567997,2.3982495864199924,89.77523342094148,,0.62,0.0
S05,switch,14,0.9333333333333333,1240.0,0.021889946851044575,1.2876427829698858,1.2876439324143867,8.926734310013212e-05,94.0625293600786,-7.601269021031345,101.66379838110994,40.0,53.72640803821224,13.726408038212242,53.78804979147685,9.583395462831128,2.395848865707782,89.68455405257104,,0.62,0.0
S06,switch,15,1.0,1240.0,0.0218794015784655,1.2876427829698858,1.2870236222626765,-0.04808481943891518,93.34808019330684,-8.21701114104361,101.56509133435046,40.0,53.73301280172956,13.733012801729558,53.78939315237392,9.574164268635174,2.3935410671587936,89.59738599855648,,0.62,0.0
S07,switch,16,1.0666666666666667,1240.0,0.021869267416513252,1.2876427829698858,1.2864274950890149,-0.09438082494183486,92.63559489340872,-8.834683705612383,101.4702785990211,40.0,53.73936606853562,13.739366068535617,53.79064860742318,9.565297146699365,2.391324286674841,89.51365716564688,,0.62,0.0
S08,switch,17,1.1333333333333333,1240.0,0.02185953623589774,1.2876427829698858,1.285855072699867,-0.1388358862925804,91.92503248966014,-9.454246172258317,101.37927866191845,40.0,53.745472234835404,13.745472234835404,53.79181600143562,9.556786488970527,2.3891966222426317,89.43329555070531,,0.62,0.0
S09,switch,18,1.2,1240.0,0.021850199878798656,1.2876427829698858,1.2853058752234503,-0.1814872709530118,91.2163520547446,-10.075658045916066,101.29201010066068,40.0,53.75133575929681,13.751335759296808,53.79289505333867,9.548624694869055,2.3871561737172637,89.35622923207434,,0.62,0.0
C10,compute,19,1.2666666666666666,5800.0,0.10196976551744709,6.022845275181723,5.998221501026299,-0.4088395605460943,90.50951269980884,-10.698878874176534,101.20839157398537,40.0,53.78267574657832,13.78267574657832,53.79388534032773,57.18808193825728,23.915016083271226,20.10529355245687,,0.62,0.0
C11,compute,20,1.3333333333333333,5800.0,0.1019352717799941,6.022845275181723,5.996192457646711,-0.4425286773485525,89.81073381784877,-11.33001657048137,101.14075038833013,40.0,53.78733186969936,13.787331869699358,53.79528782174151,57.14939798073694,23.898839155580905,20.092513252012267,,0.62,0.0
C12,compute,21,1.4,5800.0,0.10190802319023791,6.022845275181723,5.994589599425759,-0.4691416509136809,89.11913365481456,-11.96819888732076,101.08733254213533,40.0,53.791012234243965,13.791012234243965,53.7964251359283,57.118848547981365,23.886063938246757,20.082420055907164,,0.62,0.0
C13,compute,22,1.4666666666666666,5800.0,0.10188712541212311,6.022845275181723,5.993360318360183,-0.489551955502477,88.43382525360902,-12.612548968385038,101.04637422199404,40.0,53.793836150123354,13.793836150123354,53.79732769934151,57.09542478610136,23.876268546915117,20.074680888977586,,0.62,0.0
C14,compute,23,1.5333333333333332,5800.0,0.10187167549093841,6.022845275181723,5.9924514994669655,-0.5046414829881412,87.75391480694283,-13.262183830348569,101.0160986372914,40.0,53.79592464098937,13.79592464098937,53.79802622130711,57.07811047032083,23.86902801486144,20.068960152109117,,0.62,0.0
