tray_id,component,count,power_each_W,coolant_reference_C,resistance_low_K_W,resistance_high_K_W,junction_low_C,junction_high_C,target_max_C,target_margin_K,manufacturer_limit_C,manufacturer_margin_K
C01,GPU,4,1200.0,53.78844717468877,0.01,0.02,65.78844717468877,77.78844717468877,80.0,2.21155282531123,,
C01,CPU,2,500.00000000000006,53.78844717468877,0.02,0.04,63.78844717468877,73.78844717468877,80.0,6.21155282531123,,
C02,GPU,4,1200.0,53.810930744922246,0.01,0.02,65.81093074492225,77.81093074492225,80.0,2.1890692550777544,,
C02,CPU,2,500.00000000000006,53.810930744922246,0.02,0.04,63.810930744922246,73.81093074492225,80.0,6.189069255077754,,
C03,GPU,4,1200.0,53.8312639141252,0.01,0.02,65.8312639141252,77.8312639141252,80.0,2.168736085874798,,
C03,CPU,2,500.00000000000006,53.8312639141252,0.02,0.04,63.8312639141252,73.8312639141252,80.0,6.168736085874798,,
C04,GPU,4,1200.0,53.8495392558803,0.01,0.02,65.8495392558803,77.8495392558803,80.0,2.150460744119698,,
C04,CPU,2,500.00000000000006,53.8495392558803,0.02,0.04,63.8495392558803,73.8495392558803,80.0,6.150460744119698,,
C05,GPU,4,1200.0,53.865853358496906,0.01,0.02,65.8658533584969,77.8658533584969,80.0,2.1341466415030936,,
C05,CPU,2,500.00000000000006,53.865853358496906,0.02,0.04,63.865853358496906,73.8658533584969,80.0,6.134146641503094,,
C06,GPU,4,1200.0,53.88030649694451,0.01,0.02,65.88030649694451,77.88030649694451,80.0,2.119693503055487,,
C06,CPU,2,500.00000000000006,53.88030649694451,0.02,0.04,63.88030649694451,73.88030649694451,80.0,6.119693503055487,,
C07,GPU,4,1200.0,53.89300231307476,0.01,0.02,65.89300231307476,77.89300231307476,80.0,2.10699768692524,,
C07,CPU,2,500.00000000000006,53.89300231307476,0.02,0.04,63.89300231307476,73.89300231307476,80.0,6.10699768692524,,
C08,GPU,4,1200.0,53.90404750771745,0.01,0.02,65.90404750771745,77.90404750771745,80.0,2.0959524922825494,,
C08,CPU,2,500.00000000000006,53.90404750771745,0.02,0.04,63.90404750771745,73.90404750771745,80.0,6.095952492282549,,
C09,GPU,4,1200.0,53.913551548274086,0.01,0.02,65.91355154827409,77.91355154827409,80.0,2.0864484517259143,,
C09,CPU,2,500.00000000000006,53.913551548274086,0.02,0.04,63.913551548274086,73.91355154827409,80.0,6.086448451725914,,
S01,NVSwitch,2,620.0,53.97781782088555,0.015,0.035,63.277817820885545,75.67781782088555,80.0,4.322182179114449,,
S02,NVSwitch,2,620.0,53.9855847579646,0.015,0.035,63.2855847579646,75.6855847579646,80.0,4.314415242035395,,
S03,NVSwitch,2,620.0,53.99307769852538,0.015,0.035,63.29307769852538,75.69307769852539,80.0,4.306922301474614,,
S04,NVSwitch,2,620.0,54.00030091781963,0.015,0.035,63.30030091781963,75.70030091781963,80.0,4.299699082180368,,
S05,NVSwitch,2,620.0,54.007258760557875,0.015,0.035,63.30725876055787,75.70725876055788,80.0,4.2927412394421225,,
S06,NVSwitch,2,620.0,54.01395563895505,0.015,0.035,63.31395563895505,75.71395563895506,80.0,4.286044361044944,,
S07,NVSwitch,2,620.0,54.020396030785776,0.015,0.035,63.32039603078577,75.72039603078578,80.0,4.279603969214222,,
S08,NVSwitch,2,620.0,54.026584477451195,0.015,0.035,63.32658447745119,75.7265844774512,80.0,4.273415522548802,,
S09,NVSwitch,2,620.0,54.03252558206077,0.015,0.035,63.33252558206077,75.73252558206077,80.0,4.267474417939226,,
C10,GPU,4,1200.0,53.98225705882106,0.01,0.02,65.98225705882106,77.98225705882106,80.0,2.0177429411789376,,
C10,CPU,2,500.00000000000006,53.98225705882106,0.02,0.04,63.98225705882106,73.98225705882106,80.0,6.017742941178938,,
C11,GPU,4,1200.0,53.9868777992491,0.01,0.02,65.9868777992491,77.9868777992491,80.0,2.0131222007508995,,
C11,CPU,2,500.00000000000006,53.9868777992491,0.02,0.04,63.9868777992491,73.9868777992491,80.0,6.0131222007508995,,
C12,GPU,4,1200.0,53.99051950087454,0.01,0.02,65.99051950087454,77.99051950087454,80.0,2.009480499125459,,
C12,CPU,2,500.00000000000006,53.99051950087454,0.02,0.04,63.99051950087454,73.99051950087454,80.0,6.009480499125459,,
C13,GPU,4,1200.0,53.99330367654909,0.01,0.02,65.99330367654909,77.99330367654909,80.0,2.0066963234509103,,
C13,CPU,2,500.00000000000006,53.99330367654909,0.02,0.04,63.99330367654909,73.99330367654909,80.0,6.00669632345091,,
C14,GPU,4,1200.0,53.995353378639436,0.01,0.02,65.99535337863944,77.99535337863944,80.0,2.004646621360564,,
C14,CPU,2,500.00000000000006,53.995353378639436,0.02,0.04,63.995353378639436,73.99535337863944,80.0,6.004646621360564,,
C15,GPU,4,1200.0,53.9967932440228,0.01,0.02,65.9967932440228,77.9967932440228,80.0,2.003206755977203,,
C15,CPU,2,500.00000000000006,53.9967932440228,0.02,0.04,63.9967932440228,73.9967932440228,80.0,6.003206755977203,,
C16,GPU,4,1200.0,53.997749683012046,0.01,0.02,65.99774968301205,77.99774968301205,80.0,2.002250316987954,,
C16,CPU,2,500.00000000000006,53.997749683012046,0.02,0.04,63.997749683012046,73.99774968301205,80.0,6.002250316987954,,
C17,GPU,4,1200.0,53.99835133885557,0.01,0.02,65.99835133885557,77.99835133885557,80.0,2.0016486611444293,,
C17,CPU,2,500.00000000000006,53.99835133885557,0.02,0.04,63.99835133885557,73.99835133885557,80.0,6.001648661144429,,
C18,GPU,4,1200.0,53.99873021391858,0.01,0.02,65.99873021391858,77.99873021391858,80.0,2.001269786081423,,
C18,CPU,2,500.00000000000006,53.99873021391858,0.02,0.04,63.99873021391858,73.99873021391858,80.0,6.001269786081423,,
