metric,baseline,candidate,candidate_minus_baseline
Maximum tray outlet [°C],55.96999582540781,53.799401136422375,-2.1705946889854317
Outlet spread [K],9.904932030763916,0.2103580476111233,-9.694573983152793
RMS thermal-flow error,0.7349159697275627,0.004416969139038677,-0.730499000588524
Maximum target-flow error,1.265297422941159,0.010126220903923084,-1.255171202037236
Rack pressure drop [Pa],79833.85472782559,105092.4025634684,25258.547835642807
System pressure drop [Pa],79833.85472782559,105092.4025634684,25258.547835642807
Rack flow [L/min],120.0,120.0,0.0
Pump hydraulic power [W],159.66770945565116,210.1848051269368,50.51709567128563
Pump electrical power [W],266.11284909275196,350.3080085448947,84.19515945214272
Header volume [m³],0.004082813812605295,0.004082813812605295,0.0
Minimum normalized constraint margin,0.0,0.0,0.0
