tray_id,tray_type,rack_position,elevation_m,heat_load_W,mass_flow_kg_s,target_flow_LPM,actual_flow_LPM,flow_error_percent,supply_pressure_kPa,return_pressure_kPa,branch_dP_kPa,T_in_C,T_out_C,deltaT_C,return_mix_C,coldplate_dP_kPa,qdc_dP_kPa,branch_other_dP_kPa
C01,compute,1,0.06666666666666667,5800.0,0.10378669624192768,6.022512797567325,6.105099778936922,1.371304373200445,113.30947299998867,-0.18274704780330228,113.49222004779199,40.0,53.54178602619811,13.54178602619811,53.727176790823705,59.244230742477924,24.774860128672582,29.47312917664148
C02,compute,2,0.13333333333333333,5800.0,0.1035704448950493,6.022512797567325,6.0923791114734875,1.1600857690893367,112.40910462525744,-0.6158609891453612,113.02496561440282,40.0,53.57001437466732,13.570014374667323,53.73711462126744,58.99760380667144,24.67172522824442,29.35563657948695
C03,compute,3,0.2,5800.0,0.10337311277898269,6.022512797567325,6.080771339940158,0.9673460950778728,111.5297831110965,-1.0696400366968375,112.59942314779335,40.0,53.59587599157362,13.595875991573621,53.74655854578674,58.7730024508895,24.57780102491743,29.248619671986397
C04,compute,4,0.26666666666666666,5800.0,0.1031941101195356,6.022512797567325,6.070241771737388,0.7925093025844918,110.67075160432415,-1.5433438880489578,112.2140954923731,40.0,53.619420830325794,13.619420830325794,53.75556653211163,58.569633998495604,24.49275603573453,29.151705458142978
C05,compute,5,0.3333333333333333,5800.0,0.10303280725801386,6.022512797567325,6.060753368118463,0.6349603867439476,109.83122526558117,-2.0362042137916574,111.86742947937282,40.0,53.640707514419034,13.640707514419034,53.764207065940695,58.386676543068695,24.41624655437418,29.06450638192997
C06,compute,6,0.39999999999999997,5800.0,0.10288853348065553,6.022512797567325,6.052266675332678,0.49404424308357714,109.01038921996228,-2.5474226148745336,111.55781183483681,40.0,53.65980337158862,13.659803371588623,53.772562210796025,58.223276769899854,24.347915740139943,28.986619324797
C07,compute,7,0.4666666666666667,5800.0,0.10276057580862528,6.022512797567325,6.044739753448546,0.3690644856777873,108.20739640921381,-3.076168481968177,111.283564891182,40.0,53.67678444712635,13.676784447126352,53.780731986414594,58.078547672861234,24.287392663196513,28.91762455512426
C08,compute,8,0.5333333333333333,5800.0,0.10264817773488387,6.022512797567325,6.038128102051992,0.2592822134138829,107.42136533678021,-3.6215767482024375,111.04294208498266,40.0,53.69173550035788,13.69173550035788,53.78884078275814,57.95156615760769,24.234291302272307,28.857084625102676
C09,compute,9,0.6,5800.0,0.10255053789067668,6.022512797567325,6.032384581804511,0.16391470751499035,106.65137769426623,-4.182745523830632,110.83412321809686,40.0,53.70474998917382,13.70474998917382,53.79704700958547,57.841370519169125,24.18820948983436,28.8045432090934
S01,switch,10,0.6666666666666666,1240.0,0.021953424811835962,1.2875717015488763,1.2913779301079977,0.2956129398108621,105.89647585390954,-4.7587335971199725,110.65520945102952,40.0,53.686784065525046,13.686784065525046,53.80555806394892,9.639057219378698,2.4097643048446744,98.60638792680612
S02,switch,11,0.7333333333333333,1240.0,0.0219362330642429,1.2875717015488763,1.2903666508378175,0.21707135110060247,105.1437981039351,-5.336890325850672,110.48068842978577,40.0,53.697492827104384,13.697492827104384,53.80794994409587,9.623966420975666,2.4059916052439165,98.45073040356621
S03,switch,12,0.7999999999999999,1240.0,0.021919461266841946,1.2875717015488763,1.2893800745201145,0.14044833146477753,104.39334700164062,-5.917218993932496,110.31056599557313,40.0,53.707956161957384,13.707956161957384,53.81021824264525,9.609255644571688,2.402313911142922,98.29899643985851
S04,switch,13,0.8666666666666667,1240.0,0.021903110859017964,1.2875717015488763,1.288418285824586,0.06575045682437265,103.64512443870547,-6.499722235442724,110.14484667414818,40.0,53.71817200637469,13.718172006374687,53.812360609723214,9.594925306048614,2.3987313265121535,98.15119004158741
S05,switch,14,0.9333333333333333,1240.0,0.0218871831225646,1.2875717015488763,1.2874813601508586,-0.007016416865095672,102.89913160568173,-7.084401999076942,109.98353360475868,40.0,53.728138414918874,13.728138414918874,53.81437452958886,9.580975700813532,2.395243925203383,98.00731397874178
S06,switch,15,1.0,1240.0,0.021871679173488045,1.2875717015488763,1.2865693631463555,-0.07784719105856902,102.15536895488937,-7.671259510984185,109.82662846587355,40.0,53.737853566892454,13.737853566892454,53.816257300228926,9.567406997359814,2.3918517493399536,97.8673697191738
S07,switch,16,1.0666666666666667,1240.0,0.0218565999534902,1.2875717015488763,1.2856823502053059,-0.14673756353123382,101.41383616164305,-8.260295235913373,109.67413139755642,40.0,53.747315772996785,13.747315772996785,53.81800601012094,9.554219230538157,2.3885548076345393,97.73135735938372
S08,switch,17,1.1333333333333333,1240.0,0.021841946221118243,1.2875717015488763,1.2848203659481319,-0.2136840688122281,100.67453208373476,-8.851508836594464,109.52604092032922,40.0,53.756523482185344,13.756523482185344,53.819617511712636,9.541412294524429,2.3853530736311073,97.5992755521737
S09,switch,18,1.2,1240.0,0.021827718542567053,1.2875717015488763,1.283983443680415,-0.2786841202043378,99.93745471909234,-9.444899131273878,109.38235385036623,40.0,53.76547528871714,13.765475288717141,53.82108839108241,9.528985935470512,2.382246483867628,97.47112143102808
C10,compute,19,1.2666666666666666,5800.0,0.10180357655899962,6.022512797567325,5.988445679941154,-0.5656628515581098,99.20260116152993,-10.04046404931981,109.24306521084974,40.0,53.805137666895746,13.805137666895746,53.82241493314291,57.00182510112253,23.837126860469418,28.40411324925777
C11,compute,20,1.3333333333333333,5800.0,0.10175021176903151,6.022512797567325,5.985306574648912,-0.6177857012349001,98.4808810511962,-10.64895108928194,109.12983214047814,40.0,53.81236593179375,13.81236593179375,53.824577632596004,56.942080772735174,23.812142868598347,28.375608499144622
C12,compute,21,1.4,5800.0,0.10170795624629735,6.022512797567325,5.9828209556645495,-0.6590578258099902,97.771065107518,-11.269147626363019,109.040212733881,40.0,53.81809481755141,13.818094817551412,53.826323924208566,56.89479600089304,23.792369236737095,28.353047496250845
C13,compute,22,1.4666666666666666,5800.0,0.10167561487456371,6.022512797567325,5.980918522033159,-0.6906465279902289,97.07186378484967,-11.899781023207273,108.97164480805694,40.0,53.82248278202121,13.822482782021211,53.82769639499395,56.8586186306633,23.777240518277384,28.335785659116244
C14,compute,23,1.5333333333333332,5800.0,0.10165192670089908,6.022512797567325,5.979525100052887,-0.7137834149858916,96.3819224138653,-12.539513929798803,108.9214363436641,40.0,53.825698479298694,13.825698479298694,53.82873958958277,56.832128111027274,23.766162664611407,28.32314556802542
C15,compute,24,1.5999999999999999,5800.0,0.1016355605491917,6.022512797567325,5.978562385246571,-0.7297686829076951,95.69981534866808,-13.18693867678407,108.88675402545216,40.0,53.82792107764675,13.82792107764675,53.82950007620485,56.81382942481627,23.75851048674135,28.314414113894557
C16,compute,25,1.6666666666666667,5800.0,0.10162510900045094,6.022512797567325,5.977947588261819,-0.73997699637113,95.0240383901938,-13.840570105663899,108.86460849585768,40.0,53.82934081975645,13.829340819756453,53.83002648919614,56.802145286444436,23.753624392513128,28.30883881690012
C17,compute,26,1.7333333333333334,5800.0,0.10161907915738183,6.022512797567325,5.977592891610695,-0.7458665089889714,94.3529977492241,-14.498835275257944,108.85183302448203,40.0,53.83016004841585,13.830160048415848,53.83036934941367,56.79540486836829,23.75080567222674,28.305622483886967
C18,compute,27,1.8,5800.0,0.10161599831224623,6.022512797567325,5.977411665426248,-0.7488756546817864,93.68518012204764,-15.160125780553727,108.84530590260137,40.0,53.83057865674658,13.830578656746582,53.83057865674658,56.79196112146935,23.749365559887185,28.303979221244816
